estimator,group,scenario,seed,rms_angle_deg,rms_roll_deg,rms_pitch_deg,rms_yaw_deg,max_angle_deg,ss_rms_angle_deg,conv_time,bias_rmse_dps,diverged,ns_per_step,bytes
InvariantEKF,attitude,init_error,2,2.98695,0.968089,0.830916,2.68793,15.956,3.68014,0.04,0.186185,0,1910.08,608
TRIAD,attitude,init_error,2,19.5832,9.36866,1.45155,17.1638,85.3673,21.6017,-1,1.06417,1,129.136,120
QUEST,attitude,init_error,2,19.217,8.67839,1.4368,17.1688,84.9803,21.1861,-1,1.06417,1,214.333,120
Complementary,attitude,init_error,3,6.72687,3.0097,1.38953,5.81488,46.2707,8.3257,112.99,1.39263,0,359.952,272
Madgwick,attitude,init_error,3,17.7133,9.15722,1.71855,15.3244,72.3811,18.8146,-1,1.39263,1,111.663,272
Madgwick-Gated,attitude,init_error,3,5.53464,2.54156,2.53356,4.30793,46.4897,6.73342,-1,0.28653,0,141.255,272
Mahony,attitude,init_error,3,18.5971,6.28224,2.99138,17.5098,77.1736,19.2944,70.75,1.28148,1,137.077,312
Mahony-Gated,attitude,init_error,3,3.62293,1.23257,0.849734,3.32244,45.9768,1.31542,73.08,0.358228,0,145.324,312
MEKF,attitude,init_error,3,2.37514,0.818162,0.643978,2.1319,14.7219,2.99178,4.44,0.252756,0,2014.38,608
InvariantEKF,attitude,init_error,3,2.35492,0.808041,0.641218,2.11374,14.703,2.98931,0.07,0.16957,0,1907.35,608
TRIAD,attitude,init_error,3,19.5938,9.36919,1.45187,17.1769,90.594,21.598,-1,1.39263,1,129.175,120
QUEST,attitude,init_error,3,19.2282,8.67985,1.43781,17.1819,89.8801,21.1825,-1,1.39263,1,213.361,120
Complementary,attitude,gyro_bias,1,20.0654,8.36306,1.99791,18.2228,28.0438,20.8492,-1,3.35298,0,373.353,272
Madgwick,attitude,gyro_bias,1,17.6984,8.99408,1.3103,15.4447,69.014,19.5657,-1,3.35298,1,110.751,272
Madgwick-Gated,attitude,gyro_bias,1,4.81046,2.07128,1.83157,3.94375,17.1485,6.18389,-1,0.417157,0,137.722,272
Mahony,attitude,gyro_bias,1,18.5038,6.26238,2.94203,17.4099,76.9446,19.2998,32.17,1.28041,1,129.936,312
Mahony-Gated,attitude,gyro_bias,1,2.4252,0.71345,0.475607,2.2725,12.9773,1.75211,32.69,0.338939,0,133.976,312
MEKF,attitude,gyro_bias,1,2.11325,0.734109,0.557201,1.89887,14.6991,2.53783,1.88,0.188132,0,2053.06,608
InvariantEKF,attitude,gyro_bias,1,2.1361,0.742562,0.562093,1.91937,14.7408,2.57499,1.88,0.188079,0,1915.24,608
TRIAD,attitude,gyro_bias,1,19.5932,9.3689,1.4505,17.1761,88.6078,21.5959,-1,3.35298,1,129.519,120
QUEST,attitude,gyro_bias,1,19.2273,8.67871,1.43626,17.1811,88.2401,21.1799,-1,3.35298,1,215.09,120
Complementary,attitude,gyro_bias,2,21.27,9.09035,2.46655,19.0581,36.3409,22.8878,-1,4.07833,0,377.64,272
Madgwick,attitude,gyro_bias,2,17.7343,8.9996,1.31883,15.4763,68.7154,19.6662,-1,4.07833,1,110.766,272
Madgwick-Gated,attitude,gyro_bias,2,7.43155,3.12082,3.28139,5.85858,31.3211,9.37925,-1,0.46682,0,142.36,272
Mahony,attitude,gyro_bias,2,18.3026,6.23963,2.9177,17.1966,74.7238,19.397,32,1.27637,1,130.517,312
Mahony-Gated,attitude,gyro_bias,2,3.30126,0.977571,0.788112,3.04056,13.026,3.01606,58.59,0.35924,0,132.171,312
MEKF,attitude,gyro_bias,2,2.97789,0.965325,0.828528,2.67971,15.9538,3.6685,2.24,0.201806,0,2040.84,608
InvariantEKF,attitude,gyro_bias,2,2.98709,0.967703,0.831003,2.68821,15.956,3.68014,2.28,0.20184,0,1956.33,608
TRIAD,attitude,gyro_bias,2,19.5832,9.36866,1.45155,17.1638,85.3673,21.6017,-1,4.07833,1,129.321,120
QUEST,attitude,gyro_bias,2,19.217,8.67839,1.4368,17.1688,84.9803,21.1861,-1,4.07833,1,215.201,120
