estimator,group,profile,scenario,seed,rmse_cells,rmse_min,rmse_mean,rmse_max,max_cell_err,ss_rmse_cells,diverged,ns_per_step,bytes,messages
InfoFusion,pack,evtol,init_error,3,0.00600115,0.00676696,0.00465589,0.0041351,0.026467,0.00659041,0,1905.72,5544,12
Decentralized-UKF,pack,evtol,init_error,3,0.0182211,0.021119,0.00891496,0.0072897,0.0761567,0.0167795,0,16649.5,57312,0
Decentralized-ReducedEKF,pack,evtol,init_error,3,0.0217802,0.0251685,0.00806556,0.0154652,0.138599,0.0176317,0,4094.37,51264,0
Decentralized-EKF,pack,evtol,current_bias,1,0.0123149,0.00763668,0.00473835,0.00841082,0.0470231,0.0129039,0,5732.03,52032,0
BarDelta,pack,evtol,current_bias,1,0.00554694,0.00653761,0.00443136,0.00460441,0.0344258,0.0033936,0,810.983,5616,12
Federated,pack,evtol,current_bias,1,0.00574732,0.00681726,0.00479349,0.00545359,0.0343296,0.00459582,0,8448.55,53472,183
Consensus,pack,evtol,current_bias,1,0.00895782,0.00771491,0.00709934,0.00926068,0.0371689,0.00648938,0,9464.36,9224,216
InfoFusion,pack,evtol,current_bias,1,0.00574693,0.00681474,0.0047932,0.00545365,0.0343296,0.00457649,0,1886.12,5544,12
Decentralized-UKF,pack,evtol,current_bias,1,0.0146074,0.00635778,0.00683961,0.0119588,0.0497208,0.013924,0,16988.5,57312,0
Decentralized-ReducedEKF,pack,evtol,current_bias,1,0.0187416,0.0151955,0.0125466,0.0180908,0.0775064,0.0148347,0,4152.42,51264,0
Decentralized-EKF,pack,evtol,current_bias,2,0.0135842,0.00958866,0.00790816,0.0129189,0.0590579,0.0147336,0,5598.07,52032,0
BarDelta,pack,evtol,current_bias,2,0.00930337,0.00909024,0.00811819,0.0103527,0.0361976,0.0108012,0,797.218,5616,12
Federated,pack,evtol,current_bias,2,0.00943854,0.00864892,0.00831044,0.0108278,0.03614,0.0111031,0,8346.08,53472,183
Consensus,pack,evtol,current_bias,2,0.00713295,0.00966682,0.00557725,0.00521286,0.0358537,0.00382829,0,9293.17,9224,216
InfoFusion,pack,evtol,current_bias,2,0.00941575,0.0086405,0.00828373,0.0107897,0.03614,0.0110431,0,1881.75,5544,12
