SOH-capable estimators: MMAE AdaptiveObserver JointEKF JointUKF DualEKF DualUKF AWTLS 
  DualEKF            flight  40: Q_true=4.4306 Ah  Q_est=4.4581 Ah  err=+0.0275  soc_rmse=0.0032
  DualEKF            flight  50: Q_true=4.3552 Ah  Q_est=4.3786 Ah  err=+0.0234  soc_rmse=0.0043
  DualEKF            flight  60: Q_true=4.2866 Ah  Q_est=4.3046 Ah  err=+0.0180  soc_rmse=0.0039
  DualEKF            flight  70: Q_true=4.2226 Ah  Q_est=4.2468 Ah  err=+0.0242  soc_rmse=0.0051
  DualEKF            flight  80: Q_true=4.1626 Ah  Q_est=4.1853 Ah  err=+0.0227  soc_rmse=0.0051
  DualEKF            flight  90: Q_true=4.1060 Ah  Q_est=4.1342 Ah  err=+0.0282  soc_rmse=0.0063
  DualEKF            flight 100: Q_true=4.0520 Ah  Q_est=4.0760 Ah  err=+0.0240  soc_rmse=0.0054
  DualEKF            flight 110: Q_true=4.0005 Ah  Q_est=4.0240 Ah  err=+0.0236  soc_rmse=0.0058
  DualEKF            flight 120: Q_true=3.9510 Ah  Q_est=3.9800 Ah  err=+0.0290  soc_rmse=0.0054
  DualUKF            flight  10: Q_true=4.7389 Ah  Q_est=4.7965 Ah  err=+0.0576  soc_rmse=0.0006
  DualUKF            flight  20: Q_true=4.6133 Ah  Q_est=4.6599 Ah  err=+0.0466  soc_rmse=0.0006
  DualUKF            flight  30: Q_true=4.5148 Ah  Q_est=4.5570 Ah  err=+0.0422  soc_rmse=0.0008
  DualUKF            flight  40: Q_true=4.4306 Ah  Q_est=4.4684 Ah  err=+0.0378  soc_rmse=0.0010
  DualUKF            flight  50: Q_true=4.3552 Ah  Q_est=4.3883 Ah  err=+0.0331  soc_rmse=0.0013
  DualUKF            flight  60: Q_true=4.2866 Ah  Q_est=4.3147 Ah  err=+0.0281  soc_rmse=0.0011
  DualUKF            flight  70: Q_true=4.2226 Ah  Q_est=4.2493 Ah  err=+0.0268  soc_rmse=0.0017
  DualUKF            flight  80: Q_true=4.1626 Ah  Q_est=4.1895 Ah  err=+0.0269  soc_rmse=0.0014
  DualUKF            flight  90: Q_true=4.1060 Ah  Q_est=4.1326 Ah  err=+0.0266  soc_rmse=0.0020
  DualUKF            flight 100: Q_true=4.0520 Ah  Q_est=4.0746 Ah  err=+0.0225  soc_rmse=0.0017
  DualUKF            flight 110: Q_true=4.0005 Ah  Q_est=4.0228 Ah  err=+0.0223  soc_rmse=0.0021
  DualUKF            flight 120: Q_true=3.9510 Ah  Q_est=3.9729 Ah  err=+0.0219  soc_rmse=0.0020
  AWTLS              flight  10: Q_true=4.7389 Ah  Q_est=4.8455 Ah  err=+0.1066  soc_rmse=0.0015
  AWTLS              flight  20: Q_true=4.6133 Ah  Q_est=4.7089 Ah  err=+0.0957  soc_rmse=0.0023
  AWTLS              flight  30: Q_true=4.5148 Ah  Q_est=4.5855 Ah  err=+0.0707  soc_rmse=0.0043
  AWTLS              flight  40: Q_true=4.4306 Ah  Q_est=4.4805 Ah  err=+0.0499  soc_rmse=0.0059
  AWTLS              flight  50: Q_true=4.3552 Ah  Q_est=4.3934 Ah  err=+0.0382  soc_rmse=0.0077
  AWTLS              flight  60: Q_true=4.2866 Ah  Q_est=4.3153 Ah  err=+0.0287  soc_rmse=0.0084
  AWTLS              flight  70: Q_true=4.2226 Ah  Q_est=4.2464 Ah  err=+0.0239  soc_rmse=0.0089
  AWTLS              flight  80: Q_true=4.1626 Ah  Q_est=4.1866 Ah  err=+0.0240  soc_rmse=0.0103
  AWTLS              flight  90: Q_true=4.1060 Ah  Q_est=4.1270 Ah  err=+0.0210  soc_rmse=0.0113
  AWTLS              flight 100: Q_true=4.0520 Ah  Q_est=4.0587 Ah  err=+0.0067  soc_rmse=0.0120
  AWTLS              flight 110: Q_true=4.0005 Ah  Q_est=3.9786 Ah  err=-0.0219  soc_rmse=0.0153
  AWTLS              flight 120: Q_true=3.9510 Ah  Q_est=3.9163 Ah  err=-0.0347  soc_rmse=0.0188
MMAE               capacity RMSE (flights 11..F) = 0.4860 Ah, final err = +0.8179 Ah, mean flight SOC RMSE = 0.0137, 2277 ns/step
AdaptiveObserver   capacity RMSE (flights 11..F) = 0.6333 Ah, final err = +0.7851 Ah, mean flight SOC RMSE = 0.0020, 1390 ns/step
JointEKF           capacity RMSE (flights 11..F) = 0.0263 Ah, final err = +0.0206 Ah, mean flight SOC RMSE = 0.0011, 1748 ns/step
JointUKF           capacity RMSE (flights 11..F) = 0.0287 Ah, final err = +0.0218 Ah, mean flight SOC RMSE = 0.0010, 3628 ns/step
DualEKF            capacity RMSE (flights 11..F) = 0.0255 Ah, final err = +0.0290 Ah, mean flight SOC RMSE = 0.0042, 1758 ns/step
DualUKF            capacity RMSE (flights 11..F) = 0.0330 Ah, final err = +0.0219 Ah, mean flight SOC RMSE = 0.0014, 2876 ns/step
AWTLS              capacity RMSE (flights 11..F) = 0.0492 Ah, final err = -0.0347 Ah, mean flight SOC RMSE = 0.0084, 986 ns/step
