estimator,flight,Q_true,Q_est,Q_err,soc_rmse_flight,ah_throughput
MMAE,86,4.12817,4.73427,0.606102,0.0201366,650.415
MMAE,87,4.12258,4.65863,0.536055,0.0206227,657.928
MMAE,88,4.11702,4.61055,0.493522,0.0197019,665.448
MMAE,89,4.11148,4.74135,0.629865,0.0193031,672.993
MMAE,90,4.106,4.62169,0.515691,0.019705,680.487
MMAE,91,4.10053,4.7513,0.650779,0.0189671,688.031
MMAE,92,4.09505,4.73038,0.635338,0.0172328,695.606
MMAE,93,4.08955,4.60905,0.519499,0.0176886,703.221
MMAE,94,4.08409,4.71384,0.629754,0.0181999,710.821
MMAE,95,4.07868,4.77297,0.694292,0.0168538,718.389
MMAE,96,4.07329,4.71229,0.638998,0.0161709,725.953
MMAE,97,4.06794,4.7396,0.671661,0.0166357,733.519
MMAE,98,4.06263,4.74315,0.680517,0.0171472,741.054
MMAE,99,4.05733,4.72859,0.671263,0.016124,748.645
MMAE,100,4.05204,4.71651,0.664464,0.0157471,756.196
MMAE,101,4.04673,4.73897,0.692239,0.0152299,763.837
MMAE,102,4.04147,4.70507,0.663602,0.0148837,771.385
MMAE,103,4.03626,4.70775,0.671489,0.0161217,778.937
MMAE,104,4.03107,4.7528,0.721726,0.0142976,786.509
MMAE,105,4.02592,4.72438,0.698465,0.0152892,794.034
MMAE,106,4.02081,4.72178,0.700971,0.0144161,801.549
MMAE,107,4.01573,4.74415,0.728423,0.0144437,809.064
MMAE,108,4.01061,4.72983,0.719223,0.0145512,816.654
MMAE,109,4.00552,4.77761,0.772093,0.0147832,824.208
MMAE,110,4.00048,4.81733,0.816847,0.0128761,831.731
MMAE,111,3.99543,4.72865,0.733221,0.0140298,839.317
MMAE,112,3.99042,4.7259,0.735482,0.0142561,846.862
MMAE,113,3.98546,4.74147,0.756008,0.0126321,854.362
MMAE,114,3.98049,4.75534,0.774857,0.0128817,861.918
MMAE,115,3.97552,4.70614,0.730621,0.0124842,869.488
MMAE,116,3.97057,4.74778,0.777213,0.0116786,877.057
MMAE,117,3.96564,4.71229,0.746647,0.0125035,884.607
MMAE,118,3.96074,4.71971,0.758974,0.0115816,892.151
MMAE,119,3.95588,4.71686,0.760985,0.0118313,899.667
MMAE,120,3.951,4.76887,0.817868,0.0107314,907.246
AdaptiveObserver,1,4.95004,4.99986,0.0498206,0.00186799,7.90273
AdaptiveObserver,2,4.90434,4.99975,0.0954087,0.00218339,15.506
AdaptiveObserver,3,4.87365,4.99973,0.126081,0.00219495,23.0697
AdaptiveObserver,4,4.84828,4.99954,0.15127,0.00208724,30.6549
AdaptiveObserver,5,4.82621,4.9992,0.17299,0.00173701,38.1496
AdaptiveObserver,6,4.80627,4.99874,0.192465,0.00167068,45.6697
AdaptiveObserver,7,4.78792,4.99832,0.210402,0.00134361,53.1846
AdaptiveObserver,8,4.77063,4.9978,0.22717,0.00114926,60.7785
AdaptiveObserver,9,4.75429,4.9972,0.242905,0.00111381,68.3705
AdaptiveObserver,10,4.7389,4.99662,0.257716,0.00119563,75.894
AdaptiveObserver,11,4.7242,4.99596,0.271757,0.00111625,83.4926
AdaptiveObserver,12,4.71019,4.99533,0.285133,0.00103902,91.0033
AdaptiveObserver,13,4.69676,4.99458,0.297824,0.000960092,98.5172
AdaptiveObserver,14,4.68371,4.99378,0.310068,0.00104908,106.105
AdaptiveObserver,15,4.67106,4.99293,0.321866,0.00106525,113.663
AdaptiveObserver,16,4.65885,4.99202,0.333178,0.00101028,121.223
AdaptiveObserver,17,4.64698,4.99111,0.34413,0.00100522,128.773
AdaptiveObserver,18,4.63541,4.99018,0.35477,0.00103219,136.344
AdaptiveObserver,19,4.62426,4.98914,0.364885,0.00105759,143.811
AdaptiveObserver,20,4.61327,4.98809,0.374819,0.00105569,151.403
AdaptiveObserver,21,4.60251,4.98703,0.384514,0.00108482,158.975
AdaptiveObserver,22,4.59198,4.98593,0.393953,0.00113334,166.553
AdaptiveObserver,23,4.58173,4.98474,0.403018,0.00108808,174.057
AdaptiveObserver,24,4.57167,4.98352,0.411852,0.00112098,181.614
AdaptiveObserver,25,4.56173,4.98234,0.420615,0.00120231,189.225
AdaptiveObserver,26,4.55203,4.98111,0.429087,0.00125704,196.723
AdaptiveObserver,27,4.54253,4.97977,0.43724,0.00130536,204.251
AdaptiveObserver,28,4.53314,4.97848,0.44534,0.00126052,211.803
AdaptiveObserver,29,4.5239,4.9772,0.453305,0.00133561,219.361
AdaptiveObserver,30,4.51476,4.97582,0.461059,0.00130395,226.967
AdaptiveObserver,31,4.50582,4.97447,0.468642,0.00131985,234.495
AdaptiveObserver,32,4.49706,4.97306,0.476002,0.00140257,241.991
AdaptiveObserver,33,4.48836,4.97156,0.483204,0.00151118,249.556
AdaptiveObserver,34,4.47968,4.97004,0.490357,0.00154968,257.186
AdaptiveObserver,35,4.47118,4.96855,0.497365,0.00155152,264.745
AdaptiveObserver,36,4.46283,4.96699,0.504157,0.00155726,272.267
AdaptiveObserver,37,4.45471,4.96543,0.510721,0.00167919,279.697
AdaptiveObserver,38,4.44663,4.96384,0.517206,0.00167677,287.232
AdaptiveObserver,39,4.4386,4.96225,0.523645,0.00173762,294.752
AdaptiveObserver,40,4.43059,4.9606,0.530008,0.00166473,302.375
AdaptiveObserver,41,4.42264,4.95886,0.536219,0.00179179,309.955
AdaptiveObserver,42,4.41481,4.95717,0.542362,0.00161292,317.547
AdaptiveObserver,43,4.40711,4.95551,0.548403,0.00180036,325.076
AdaptiveObserver,44,4.39944,4.95369,0.554243,0.00177456,332.682
AdaptiveObserver,45,4.39187,4.95195,0.560075,0.00183363,340.245
AdaptiveObserver,46,4.38438,4.95009,0.565711,0.00177091,347.822
AdaptiveObserver,47,4.37699,4.94823,0.571246,0.00174678,355.362
AdaptiveObserver,48,4.3697,4.94641,0.576708,0.00179457,362.894
AdaptiveObserver,49,4.36242,4.94454,0.582115,0.00195047,370.466
AdaptiveObserver,50,4.35521,4.94252,0.587309,0.00199626,378.043
AdaptiveObserver,51,4.34807,4.94052,0.592447,0.00206787,385.597
AdaptiveObserver,52,4.34102,4.93853,0.597509,0.00194641,393.119
AdaptiveObserver,53,4.33403,4.93657,0.602537,0.00198291,400.657
AdaptiveObserver,54,4.32708,4.93448,0.607395,0.00209255,408.226
AdaptiveObserver,55,4.32022,4.93246,0.612245,0.00207689,415.73
AdaptiveObserver,56,4.31335,4.9303,0.61695,0.00195217,423.334
AdaptiveObserver,57,4.30655,4.92816,0.621612,0.00204554,430.891
AdaptiveObserver,58,4.29982,4.92595,0.626126,0.00199506,438.438
AdaptiveObserver,59,4.2932,4.92375,0.630549,0.0021663,445.926
AdaptiveObserver,60,4.2866,4.92153,0.634928,0.00208465,453.452
AdaptiveObserver,61,4.28,4.91929,0.639286,0.0020741,461.061
AdaptiveObserver,62,4.27341,4.91696,0.643551,0.00203535,468.679
AdaptiveObserver,63,4.26693,4.91459,0.647658,0.00214371,476.203
AdaptiveObserver,64,4.26046,4.91221,0.651746,0.00213867,483.814
AdaptiveObserver,65,4.25405,4.90983,0.655781,0.00213375,491.367
AdaptiveObserver,66,4.24764,4.90728,0.659636,0.00219563,498.994
AdaptiveObserver,67,4.24132,4.90481,0.663489,0.00224169,506.531
AdaptiveObserver,68,4.23505,4.90229,0.667235,0.00226168,514.086
AdaptiveObserver,69,4.2288,4.89974,0.670938,0.00230243,521.686
AdaptiveObserver,70,4.22256,4.8971,0.674541,0.00224435,529.311
AdaptiveObserver,71,4.21638,4.89451,0.678125,0.00211362,536.899
AdaptiveObserver,72,4.21027,4.89184,0.681577,0.00228704,544.458
AdaptiveObserver,73,4.20417,4.88916,0.684998,0.00245648,552.044
AdaptiveObserver,74,4.19812,4.88651,0.688386,0.00226758,559.592
AdaptiveObserver,75,4.19212,4.88372,0.691602,0.00236624,567.156
AdaptiveObserver,76,4.18613,4.88091,0.694778,0.00234419,574.751
AdaptiveObserver,77,4.18021,4.87812,0.697907,0.00237484,582.287
AdaptiveObserver,78,4.17431,4.87523,0.700923,0.00243651,589.864
AdaptiveObserver,79,4.16842,4.87232,0.703899,0.00239054,597.457
AdaptiveObserver,80,4.16259,4.86941,0.706824,0.00237014,604.991
AdaptiveObserver,81,4.15681,4.86656,0.709741,0.00238544,612.502
AdaptiveObserver,82,4.15104,4.86355,0.712501,0.00225385,620.077
AdaptiveObserver,83,4.14528,4.86057,0.715297,0.00251648,627.67
AdaptiveObserver,84,4.1396,4.85764,0.718044,0.00236876,635.188
AdaptiveObserver,85,4.13386,4.85459,0.720728,0.00243346,642.838
AdaptiveObserver,86,4.12817,4.85152,0.723345,0.00239536,650.415
AdaptiveObserver,87,4.12258,4.84854,0.725964,0.00265658,657.928
AdaptiveObserver,88,4.11702,4.84542,0.728394,0.00265011,665.448
AdaptiveObserver,89,4.11148,4.84234,0.730853,0.00259588,672.993
AdaptiveObserver,90,4.106,4.83931,0.733307,0.00248463,680.487
AdaptiveObserver,91,4.10053,4.83612,0.735594,0.00263665,688.031
AdaptiveObserver,92,4.09505,4.833,0.737953,0.00273827,695.606
AdaptiveObserver,93,4.08955,4.82972,0.740169,0.00270501,703.221
AdaptiveObserver,94,4.08409,4.82648,0.742395,0.00255327,710.821
AdaptiveObserver,95,4.07868,4.82316,0.744487,0.00253084,718.389
AdaptiveObserver,96,4.07329,4.8199,0.746614,0.00274922,725.953
AdaptiveObserver,97,4.06794,4.81656,0.74862,0.00275102,733.519
AdaptiveObserver,98,4.06263,4.81323,0.750599,0.00271422,741.054
AdaptiveObserver,99,4.05733,4.80984,0.752513,0.00264004,748.645
