t,gx,gy,gz,ax,ay,az,mx,my,mz,qw,qx,qy,qz,bgx,bgy,bgz
0.32,0.0303453,-0.0080197,0.00191679,0.284272,-0.295128,-9.61294,19.4519,0.0954784,44.4073,0.999847,0.0130104,0.0116201,0.0010118,0.00869355,-0.00532085,0.00341618
0.33,0.0296908,-0.0058471,0.00402685,0.306121,-0.216958,-9.69976,18.5903,1.00825,43.5765,0.999846,0.0131205,0.0115991,0.00100664,0.00865247,-0.00531217,0.00345325
0.34,0.0334477,-0.0119567,0.00351501,0.37721,-0.281474,-9.77386,18.8131,1.73422,44.4302,0.999845,0.0132323,0.0115772,0.00100136,0.00867358,-0.00529448,0.0034394
0.35,0.0308433,-0.00961469,0.00382857,0.370254,-0.223087,-9.73605,19.4416,1.15641,44.8377,0.999844,0.0133456,0.0115544,0.00099596,0.00868411,-0.00532508,0.00343892
0.36,0.0294755,-0.011736,0.00287763,0.317926,-0.308196,-9.72067,19.7547,0.761206,45.2771,0.999842,0.0134602,0.0115308,0.000990447,0.00873617,-0.0052518,0.00343098
0.37,0.0329086,-0.00895526,0.00088119,0.323409,-0.339777,-9.67374,19.3991,0.537264,44.4258,0.999841,0.0135761,0.0115064,0.000984823,0.00872624,-0.00525598,0.00342367
0.38,0.0341297,-0.0120781,0.00406344,0.350461,-0.273788,-9.70516,19.8466,1.00572,43.724,0.99984,0.0136932,0.011481,0.000979088,0.00867895,-0.0052575,0.00341273
0.39,0.0313633,-0.0093927,0.00323431,0.340075,-0.371859,-9.6881,20.1337,0.466804,43.4906,0.999839,0.0138113,0.0114549,0.000973247,0.00867674,-0.00529912,0.0034483
0.4,0.0303046,-0.00846348,0.00685025,0.22892,-0.27482,-9.65211,19.7731,0.0739944,44.9407,0.999837,0.0139302,0.0114278,0.000967302,0.00865979,-0.00528353,0.00343676
0.41,0.0338649,-0.0105349,0.00392806,0.290638,-0.235949,-9.58412,20.2054,1.10813,44.1306,0.999836,0.0140499,0.0113998,0.000961255,0.00866807,-0.00533531,0.00353772
0.42,0.0312956,-0.0100431,0.00207895,0.220696,-0.352973,-9.59007,18.4608,1.57691,44.9365,0.999834,0.0141702,0.011371,0.000955108,0.00865404,-0.00536483,0.00354366
0.43,0.0351076,-0.0115193,0.00229315,0.308167,-0.359698,-9.577,20.396,0.707068,44.3186,0.999833,0.014291,0.0113413,0.000948865,0.00865027,-0.00539334,0.00351176
0.44,0.031742,-0.0143242,-0.000172995,0.314283,-0.36329,-9.61222,18.8401,1.21634,43.7669,0.999832,0.0144121,0.0113107,0.000942527,0.00865893,-0.00539942,0.00352708
0.45,0.0316667,-0.0105519,-0.00021297,0.314914,-0.385557,-9.62296,19.1388,1.7655,44.0541,0.99983,0.0145335,0.0112792,0.000936097,0.00866482,-0.00541598,0.0035045
0.46,0.0330604,-0.00812701,0.00366765,0.358069,-0.293036,-9.5965,18.7729,1.58207,43.8165,0.999829,0.0146549,0.0112468,0.000929577,0.008632,-0.0054092,0.0035102
0.47,0.0340553,-0.0120912,-0.000207888,0.329513,-0.325981,-9.6816,19.8885,1.37245,43.535,0.999828,0.0147763,0.0112134,0.00092297,0.00865377,-0.00537351,0.00358689
0.48,0.0344967,-0.0119296,0.00563635,0.354822,-0.293964,-9.67223,19.8386,0.907556,43.3524,0.999826,0.0148975,0.0111792,0.000916279,0.00865064,-0.00533398,0.0036125
0.49,0.0309381,-0.0124039,0.00224694,0.29558,-0.438633,-9.65536,20.4855,0.239833,43.9356,0.999825,0.0150183,0.0111441,0.000909505,0.00867986,-0.00530208,0.00365157
0.5,0.0301118,-0.0132104,0.00212477,0.297286,-0.2975,-9.63583,19.7654,1.10466,44.6241,0.999823,0.0151388,0.0111081,0.000902651,0.00866842,-0.00520252,0.00359394
0.51,0.0346847,-0.0141345,0.00345975,0.250462,-0.300899,-9.63168,19.7996,0.00628607,44.4847,0.999822,0.0152586,0.0110712,0.000895719,0.00865098,-0.00520954,0.00355972
0.52,0.0350652,-0.0152708,0.00171529,0.365156,-0.327707,-9.62243,19.7623,2.14588,44.7236,0.99982,0.0153777,0.0110334,0.000888711,0.00856669,-0.00518027,0.00353344
0.53,0.0312906,-0.0135969,0.00450042,0.3281,-0.473541,-9.68934,20.4867,0.198683,43.4903,0.999819,0.015496,0.0109947,0.00088163,0.00855018,-0.00520395,0.00352794
0.54,0.0313334,-0.0107491,-0.00112627,0.325809,-0.369263,-9.57187,19.7774,1.67651,44.1385,0.999818,0.0156133,0.010955,0.000874478,0.00855005,-0.00524268,0.00350542
0.55,0.0335708,-0.0137266,0.00508576,0.35436,-0.360255,-9.70046,19.9895,1.67107,43.9536,0.999816,0.0157296,0.0109145,0.000867257,0.00855063,-0.00521745,0.00347371
0.56,0.0284829,-0.0129043,0.000265945,0.331648,-0.422298,-9.58988,19.4973,1.48988,45.1994,0.999815,0.0158446,0.0108731,0.000859968,0.00855593,-0.00518646,0.00348131
0.57,0.030324,-0.0169574,0.00194161,0.343362,-0.344732,-9.59691,18.6684,2.21424,44.5682,0.999814,0.0159582,0.0108307,0.000852614,0.00854628,-0.00520167,0.00348888
0.58,0.0318657,-0.0134873,0.0030283,0.347975,-0.397662,-9.51315,20.5161,0.603396,44.545,0.999812,0.0160704,0.0107875,0.000845198,0.00854017,-0.00522788,0.00350149
0.59,0.0297677,-0.0143031,0.00180012,0.33116,-0.366725,-9.69074,19.7942,0.416065,43.2792,0.999811,0.016181,0.0107434,0.00083772,0.0085255,-0.00523559,0.00347011
0.6,0.0272749,-0.0173587,0.0020292,0.332394,-0.306091,-9.59792,19.6264,1.23948,43.5194,0.99981,0.0162898,0.0106984,0.000830182,0.0085945,-0.00524475,0.00348002
0.61,0.0279189,-0.0117487,0.00446245,0.294794,-0.298718,-9.66732,19.8341,1.14152,44.4624,0.999808,0.0163969,0.0106525,0.000822587,0.00861463,-0.00524463,0.00341818
0.62,0.028754,-0.0147832,0.00183297,0.327103,-0.318077,-9.56701,19.0321,1.13559,43.6613,0.999807,0.016502,0.0106058,0.000814937,0.00864703,-0.0052047,0.00341542
0.63,0.0283905,-0.0172168,0.0027209,0.299344,-0.396326,-9.65209,19.5184,2.54587,44.2081,0.999806,0.016605,0.0105581,0.000807231,0.00869577,-0.00525657,0.00341204
0.64,0.0295721,-0.0141777,0.00261978,0.262897,-0.423456,-9.5861,19.1523,1.43483,43.6785,0.999805,0.0167058,0.0105096,0.000799474,0.00870043,-0.00524059,0.00342604
0.65,0.0298596,-0.0137626,0.0025857,0.401608,-0.400878,-9.60228,19.7115,2.62684,44.3672,0.999804,0.0168044,0.0104603,0.000791665,0.00869642,-0.00519525,0.00346875
0.66,0.0251326,-0.0147413,0.00615301,0.304181,-0.387934,-9.5807,19.8116,1.34624,45.1132,0.999803,0.0169006,0.01041,0.000783806,0.00869558,-0.00516399,0.00347131
0.67,0.0282395,-0.0135475,0.00226033,0.321947,-0.345933,-9.58929,20.5168,1.00393,44.8883,0.999802,0.0169942,0.010359,0.0007759,0.00868477,-0.00519656,0.00339565
0.68,0.0266616,-0.0149603,0.00321532,0.256785,-0.39586,-9.46293,20.4516,1.8253,44.6588,0.999801,0.0170853,0.010307,0.000767946,0.00868966,-0.00520133,0.00331705
0.69,0.0271281,-0.016856,-0.00174996,0.339994,-0.395136,-9.62463,18.2326,1.62531,44.0362,0.9998,0.0171736,0.0102543,0.000759947,0.00864881,-0.00518419,0.0033746
0.7,0.0258538,-0.0145502,0.00268616,0.383607,-0.371098,-9.51503,20.3562,1.60525,43.4103,0.999799,0.0172592,0.0102007,0.000751903,0.00864176,-0.00521724,0.00341106
0.71,0.0240986,-0.0169568,0.00366371,0.292996,-0.355377,-9.60388,20.1203,1.88655,44.0044,0.999798,0.0173418,0.0101463,0.000743816,0.00863934,-0.00523531,0.00335841
0.72,0.0214925,-0.0127897,0.00102368,0.28923,-0.449893,-9.59442,20.691,2.03431,44.4636,0.999797,0.0174215,0.0100911,0.000735686,0.00871396,-0.00526575,0.0033268
0.73,0.0258822,-0.0160137,0.00123076,0.310599,-0.464596,-9.48505,19.7926,1.09292,43.6873,0.999796,0.0174981,0.010035,0.000727515,0.00873689,-0.00517234,0.00336501
0.74,0.0205602,-0.0131469,0.000998795,0.320737,-0.412246,-9.58693,18.9094,0.731195,43.9218,0.999796,0.0175715,0.00997821,0.000719304,0.00868016,-0.00514962,0.00337505
0.75,0.0213755,-0.0180822,7.61784e-05,0.333201,-0.374444,-9.48977,20.0204,0.778632,43.502,0.999795,0.0176417,0.00992061,0.000711052,0.00862002,-0.00513208,0.00343504
0.76,0.022592,-0.0171553,0.00274202,0.370092,-0.449293,-9.55558,20.0466,1.12465,43.825,0.999794,0.0177085,0.00986222,0.000702762,0.00862352,-0.00512952,0.00345663
0.77,0.0214957,-0.0183605,0.00228734,0.295557,-0.324977,-9.54875,19.1084,2.18663,44.2522,0.999794,0.017772,0.00980307,0.000694433,0.00863196,-0.00514702,0.00346242
0.78,0.0223239,-0.0157741,-0.000318056,0.31921,-0.403161,-9.51292,20.229,2.12196,44.1805,0.999793,0.0178319,0.00974317,0.000686066,0.00862969,-0.00515443,0.003478
0.79,0.0200766,-0.0164321,0.00177797,0.284552,-0.375227,-9.60905,19.8568,1.91713,44.3736,0.999793,0.0178884,0.00968252,0.000677662,0.00869366,-0.00512888,0.00354767
0.8,0.0190111,-0.0192628,0.00475674,0.345736,-0.390584,-9.59204,19.5401,1.92271,43.6472,0.999793,0.0179412,0.00962115,0.000669221,0.0086947,-0.00512217,0.00348615
0.81,0.0172806,-0.016914,0.00127628,0.369844,-0.337364,-9.43374,19.8418,1.08283,44.07,0.999792,0.0179903,0.00955905,0.000660744,0.00865884,-0.00512461,0.00350105
0.82,0.0167818,-0.0184738,-0.000414693,0.348788,-0.406888,-9.47342,19.9063,2.18103,44.3293,0.999792,0.0180357,0.00949624,0.00065223,0.00864055,-0.00510352,0.00347302
0.83,0.0158664,-0.0155106,0.00196733,0.290393,-0.409407,-9.58429,19.8902,1.2129,44.088,0.999792,0.0180774,0.00943274,0.00064368,0.00865162,-0.00509844,0.00348777
0.84,0.0153383,-0.0187718,0.000800557,0.266058,-0.313644,-9.41101,19.6611,0.900562,43.8125,0.999792,0.0181151,0.00936856,0.000635094,0.00863,-0.00508837,0.00349773
0.85,0.0129239,-0.0162706,0.00188246,0.370187,-0.428383,-9.54795,19.523,1.4159,44.7387,0.999792,0.018149,0.0093037,0.000626472,0.00863887,-0.00510088,0.00350038
0.86,0.0113364,-0.0195299,0.00204878,0.292016,-0.403373,-9.46582,19.3168,1.19592,44.727,0.999792,0.018179,0.00923819,0.000617814,0.00859352,-0.0050883,0.00349953
0.87,0.0133171,-0.0175505,0.00265241,0.282857,-0.452293,-9.44107,19.9198,1.66059,43.5021,0.999792,0.018205,0.00917204,0.00060912,0.00862763,-0.00509722,0.00351716
0.88,0.0115463,-0.0172409,0.00273635,0.33124,-0.385869,-9.47936,20.0314,1.81613,44.4,0.999792,0.018227,0.00910526,0.00060039,0.00860483,-0.0051543,0.00353596
0.89,0.0130939,-0.0205005,0.00303926,0.387671,-0.308953,-9.517,19.4125,0.579417,45.0175,0.999793,0.018245,0.00903787,0.000591623,0.00864172,-0.00510297,0.00352863
0.9,0.0102667,-0.0193567,0.00125125,0.257483,-0.410889,-9.54118,20.0402,0.105837,44.3123,0.999793,0.0182589,0.00896988,0.000582819,0.00869499,-0.00516106,0.00348425
0.91,0.00607976,-0.0183978,-0.000462701,0.353377,-0.315831,-9.53276,20.2556,1.30507,43.362,0.999793,0.0182687,0.0089013,0.000573978,0.00873426,-0.00517842,0.00347405
0.92,0.0134559,-0.0170671,-0.00145016,0.342805,-0.403231,-9.4837,19.9364,2.04257,43.2305,0.999794,0.0182744,0.00883216,0.000565099,0.00879397,-0.00518292,0.00350152
0.93,0.0077395,-0.0185275,0.00433998,0.354821,-0.453186,-9.4294,19.9024,1.14673,43.6666,0.999794,0.018276,0.00876246,0.000556182,0.00877126,-0.00519317,0.00346056
0.94,0.00551907,-0.0191151,0.00142601,0.262638,-0.440699,-9.51452,20.0295,1.59813,43.7084,0.999795,0.0182734,0.00869223,0.000547227,0.00884558,-0.00516683,0.00341392
0.95,0.00838495,-0.020024,0.00142749,0.30166,-0.467726,-9.444,20.3906,0.59665,44.5108,0.999796,0.0182667,0.00862148,0.000538232,0.00886094,-0.00524316,0.00334234
0.96,0.00413789,-0.0188312,-0.000991051,0.385364,-0.342409,-9.50513,19.9757,1.39868,43.8424,0.999797,0.0182559,0.00855022,0.000529197,0.00887346,-0.00529691,0.00334969
0.97,0.00703662,-0.0228828,0.00354607,0.249112,-0.302276,-9.49365,19.1208,1.68075,44.5703,0.999798,0.0182409,0.00847848,0.000520122,0.00887654,-0.00524851,0.0033633
0.98,0.00142362,-0.0195635,0.00490908,0.27932,-0.526101,-9.46664,20.2122,1.07449,43.5165,0.999799,0.0182217,0.00840627,0.000511005,0.00890241,-0.00522213,0.00335771
0.99,0.000371422,-0.0174152,0.00511307,0.33502,-0.475433,-9.54344,19.0266,1.74249,44.7144,0.9998,0.0181985,0.0083336,0.000501845,0.00890246,-0.00525616,0.00336069
1,0.00343104,-0.0210722,0.000497704,0.403722,-0.290489,-9.45042,19.5483,1.91309,44.5088,0.999801,0.0181711,0.0082605,0.000492643,0.00890269,-0.00525868,0.00335517
1.01,0.00170808,-0.0222116,0.00408571,0.314633,-0.418544,-9.45375,20.4138,1.03338,43.7058,0.999802,0.0181396,0.00818699,0.000483396,0.00890081,-0.00525206,0.00332263
1.02,0.000613025,-0.0180797,0.00329307,0.2843,-0.401412,-9.53333,20.0107,2.19364,44.0727,0.999803,0.018104,0.00811307,0.000474105,0.00886431,-0.005216,0.00335452
