plant,estimator,group,profile,scenario,seed,rmse,rmse_ss,mae,max_err,final_err,conv_time,diverged,rmse_v,ns_per_step,bytes,capacity_err_end,bound_violation,bound_width,real_type
spm,ReducedOrder-EKF,robust_kalman,evtol,nominal,1,0.00747269,0.00709788,0.00569526,0.017471,0.0111768,0,0,0.00158588,311.055,4272,nan,nan,nan,double
spm,SVSF,robust_kalman,evtol,nominal,1,0.037095,0.0374135,0.0355238,0.0459952,-0.0345554,0,0,0.00104036,553.175,4376,nan,nan,nan,double
spm,Luenberger,observers,evtol,nominal,1,0.0087812,0.00626346,0.00578845,0.0410957,0.00892755,0,0,0.00107843,328.038,4632,nan,nan,nan,double
spm,SSKF,observers,evtol,nominal,1,0.0087812,0.00626346,0.00578845,0.0410957,0.00892755,0,0,0.00107843,320.096,4632,nan,nan,nan,double
spm,PI-Observer,observers,evtol,nominal,1,0.0107754,0.0098955,0.00758764,0.0494965,0.0114945,0,0,0.00106545,1205.17,4824,nan,nan,nan,double
spm,SMO,observers,evtol,nominal,1,0.0088095,0.00613748,0.00574459,0.0417617,0.00870593,0,0,0.00106836,350.404,4800,nan,nan,nan,double
spm,SMO-Adaptive,observers,evtol,nominal,1,0.00872128,0.00597407,0.00565751,0.0414787,0.00843465,0,0,0.0010727,339.93,4800,nan,nan,nan,double
spm,SuperTwisting-SMO,observers,evtol,nominal,1,0.0103835,0.00965825,0.0075267,0.0417698,0.0118728,0,0,0.00281083,133.597,4280,nan,nan,nan,double
spm,HGO,observers,evtol,nominal,1,0.0087812,0.00626346,0.00578845,0.0410957,0.00892755,0,0,0.00107843,333.237,4680,nan,nan,nan,double
spm,ESO,observers,evtol,nominal,1,0.0100616,0.00993509,0.00738732,0.0401511,0.0114836,0,0,0.00102632,1259.33,4784,nan,nan,nan,double
spm,UIO,observers,evtol,nominal,1,0.00831024,0.00466733,0.00637207,0.0254734,0.00633685,0,0,0.00108451,453.715,5072,nan,nan,nan,double
spm,DOB,observers,evtol,nominal,1,0.0088322,0.00700039,0.00630239,0.0382011,0.0115005,0,0,0.00102842,752.397,4784,nan,nan,nan,double
spm,AdaptiveObserver,observers,evtol,nominal,1,0.00875025,0.00455711,0.00584114,0.0376506,0.00734711,0,0,0.000999889,704.459,4864,-0.00011,nan,nan,double
spm,IntervalObserver,observers,evtol,nominal,1,0.0087812,0.00626346,0.00578845,0.0410957,0.00892755,0,0,0.00107843,668.999,9024,nan,0,0.338581,double
spm,JointEKF,soh,evtol,nominal,1,0.0254924,0.0157707,0.0220909,0.0586863,-0.00516052,0,0,0.000809587,1140.76,8752,0.167914,nan,nan,double
spm,JointUKF,soh,evtol,nominal,1,0.0270857,0.0181302,0.0232807,0.0598109,-0.00543985,0.4,0,0.00112836,3038.24,9600,0.156915,nan,nan,double
spm,DualEKF,soh,evtol,nominal,1,0.0159517,0.00685619,0.0123148,0.0324194,0.00544869,0,0,0.000844316,1175.32,4752,0.258194,nan,nan,double
spm,DualUKF,soh,evtol,nominal,1,0.0483654,0.0442721,0.0448268,0.0639902,-0.0193655,0.4,0,0.00117319,2218.9,5512,0.847118,nan,nan,double
spm,RLS-EKF,soh,evtol,nominal,1,0.0422393,0.0430255,0.0405275,0.050381,-0.0405623,0,0,0.000986993,464.206,8904,nan,nan,nan,double
spm,AWTLS,soh,evtol,nominal,1,0.03308,0.0290078,0.0309306,0.0454297,-0.0180152,0,0,0.000999045,460.545,8776,0.274986,nan,nan,double
spm,PF-Bootstrap,particle,evtol,nominal,1,0.00887935,0.00442432,0.00555491,0.0342444,0.00115122,0,0,0.00106837,74498.1,46472,nan,nan,nan,double
spm,PF-Fast,particle,evtol,nominal,1,0.0136798,0.0105317,0.011454,0.0339527,0.0103242,431.6,0,0.00104926,15535.6,9664,nan,nan,nan,double
spm,PF-Regularized,particle,evtol,nominal,1,0.00905138,0.00826767,0.00715933,0.0340872,0.0119677,0,0,0.00106919,79446.4,46464,nan,nan,nan,double
spm,PF-Auxiliary,particle,evtol,nominal,1,0.0101428,0.00997358,0.00787907,0.028762,0.0122954,0,0,0.00116352,100695,54584,nan,nan,nan,double
spm,RBPF,particle,evtol,nominal,1,0.00671885,0.00504428,0.00522876,0.0353282,-0.00607562,0,0,0.00100685,39693.3,34016,nan,nan,nan,double
spm,UPF,particle,evtol,nominal,1,0.0176721,0.0108794,0.0131524,0.0578812,0.00488036,450.3,0,0.0013196,18052.9,25360,nan,nan,nan,double
spm,EnKF,particle,evtol,nominal,1,0.0219728,0.0117801,0.0153396,0.0635763,-0.000969059,0.1,0,0.00102366,9797.09,6776,nan,nan,nan,double
spm,ETKF,particle,evtol,nominal,1,0.0538907,0.0568808,0.0527916,0.0589071,-0.0571117,-1,0,0.00106409,10381.2,5304,nan,nan,nan,double
spm,GSF,particle,evtol,nominal,1,0.0209002,0.015094,0.0176201,0.0461231,-0.0140587,0,0,0.00103572,1667.77,9192,nan,nan,nan,double
spm,NN-Direct,learning,evtol,nominal,1,0.0421989,0.0511721,0.037297,0.110646,0.0103852,0,0,nan,493.408,15152,nan,nan,nan,double
spm,NN-EKF,learning,evtol,nominal,1,0.0240762,0.0251456,0.0237612,0.0266886,-0.0235404,0.1,0,0.00121307,1040.55,4376,nan,nan,nan,double
spm,ELM-RLS-EKF,learning,evtol,nominal,1,0.0266227,0.0274789,0.0255262,0.0311147,-0.025485,0,0,0.000804928,3304.72,11704,nan,nan,nan,double
spm,MHE-RTI,optimization,evtol,nominal,1,0.0415339,0.0426072,0.039953,0.0477425,-0.0363605,0,0,0.0010132,16835.1,26928,nan,nan,nan,double
spm,MHE,optimization,evtol,nominal,1,0.0353053,0.0375001,0.0337302,0.0408028,-0.0361343,0,0,0.00101781,28979.2,26928,nan,nan,nan,double
spm,ERTS,smoothers,evtol,nominal,1,0.0352505,0.0356022,0.0352471,0.036338,-0.036338,-1,0,0.00294654,861.289,12547032,nan,nan,nan,double
spm,URTS,smoothers,evtol,nominal,1,0.0312075,0.03172,0.0312004,0.0325264,-0.0325264,-1,0,0.00210689,2446.3,12547056,nan,nan,nan,double
spm,Batch-NLS,smoothers,evtol,nominal,1,0.0307538,0.0313698,0.0307441,0.0322591,-0.0322591,-1,0,0.000825657,4397.91,17371352,nan,nan,nan,double
spm,FixedLag-EKF,smoothers,evtol,nominal,1,0.0378879,0.0386087,0.0361976,0.0447663,-0.0362803,0,0,0.00100456,10201.6,19992,nan,nan,nan,double
spm,CoulombCounting,baselines,evtol,nominal,2,0.00358497,0.00466531,0.00314699,0.00600104,-0.00600104,0,0,0.0101466,74.7684,4184,nan,nan,nan,double
spm,OCVLookup,baselines,evtol,nominal,2,0.0172643,0.0197399,0.0131597,0.0554226,0.0125599,0,0,0.0123675,1312.1,4192,nan,nan,nan,double
spm,CoulombOCVHybrid,baselines,evtol,nominal,2,0.00552726,0.00662201,0.00523045,0.00804922,0.00617026,0,0,0.0106563,207.654,4192,nan,nan,nan,double
spm,EKF,kalman,evtol,nominal,2,0.0339347,0.0349636,0.0324401,0.0395913,-0.0332376,0,0,0.00100135,455.611,4336,nan,nan,nan,double
spm,UKF,kalman,evtol,nominal,2,0.0372293,0.0375583,0.0355441,0.0454095,-0.0340886,0.4,0,0.00127361,1387.38,4776,nan,nan,nan,double
spm,LKF,kalman,evtol,nominal,2,0.0127596,0.0168796,0.0107758,0.0267402,-0.0265998,0,0,0.00102852,325.692,4680,nan,nan,nan,double
spm,IEKF,kalman,evtol,nominal,2,0.0341383,0.035161,0.032637,0.0395949,-0.033481,0,0,0.00100085,567.604,4336,nan,nan,nan,double
spm,CKF,kalman,evtol,nominal,2,0.0452695,0.0446431,0.0435039,0.057893,-0.0402287,0,0,0.00101254,1208.33,4560,nan,nan,nan,double
spm,SCKF,kalman,evtol,nominal,2,0.0452695,0.0446431,0.0435039,0.057893,-0.0402287,0,0,0.00101254,1536.51,4696,nan,nan,nan,double
spm,CKF5,kalman,evtol,nominal,2,0.0449864,0.0444111,0.0432331,0.0573806,-0.0401149,0.1,0,0.00102038,3795.38,5624,nan,nan,nan,double
spm,CDKF,kalman,evtol,nominal,2,0.0449864,0.0444111,0.0432331,0.0573806,-0.0401149,0.1,0,0.00102038,1310.66,4312,nan,nan,nan,double
spm,GHKF,kalman,evtol,nominal,2,0.0449864,0.0444111,0.0432331,0.0573806,-0.0401149,0.1,0,0.00102038,11386.8,10784,nan,nan,nan,double
spm,IPLF,kalman,evtol,nominal,2,0.0419615,0.0424148,0.0405065,0.0509296,-0.0394778,0.2,0,0.00127681,1945.95,4784,nan,nan,nan,double
spm,EIF,kalman,evtol,nominal,2,0.0339347,0.0349636,0.0324401,0.0395913,-0.0332376,0,0,0.00100135,1217.38,4472,nan,nan,nan,double
spm,SR-EKF,kalman,evtol,nominal,2,0.0339347,0.0349636,0.0324401,0.0395913,-0.0332376,0,0,0.00100135,791.669,4440,nan,nan,nan,double
spm,SR-UKF,kalman,evtol,nominal,2,0.0372293,0.0375583,0.0355441,0.0454095,-0.0340886,0.4,0,0.00127361,1488.72,4896,nan,nan,nan,double
spm,UD-EKF,kalman,evtol,nominal,2,0.0339347,0.0349636,0.0324401,0.0395913,-0.0332376,0,0,0.00100135,460.853,4480,nan,nan,nan,double
spm,SO-EKF,kalman,evtol,nominal,2,0.0318169,0.0328595,0.0304084,0.0438441,-0.0303635,0.5,0,0.00123937,3961.35,4496,nan,nan,nan,double
spm,SageHusa-AKF,adaptive_kalman,evtol,nominal,2,0.0333846,0.0340546,0.0319154,0.0400749,-0.0306673,0,0,0.00110059,509.605,4808,nan,nan,nan,double
spm,IAE-AKF,adaptive_kalman,evtol,nominal,2,0.0318972,0.0330152,0.0306571,0.0360713,-0.0306305,0,0,0.00113859,470.77,5040,nan,nan,nan,double
spm,VB-AKF,adaptive_kalman,evtol,nominal,2,0.0292625,0.0301476,0.0280778,0.0343092,-0.0282214,0,0,0.00112103,840.69,4408,nan,nan,nan,double
spm,STF,adaptive_kalman,evtol,nominal,2,0.0118698,0.00542261,0.00853339,0.0501351,0.00533751,0,0,0.000944368,503.034,4680,nan,nan,nan,double
spm,Fading-EKF,adaptive_kalman,evtol,nominal,2,0.00639487,0.00392928,0.00521025,0.0177412,0.00285567,0,0,0.0010811,462.644,4384,nan,nan,nan,double
spm,Fuzzy-AKF,adaptive_kalman,evtol,nominal,2,0.0268499,0.027731,0.0256705,0.0322735,-0.0248575,0,0,0.00153777,698.362,4816,nan,nan,nan,double
spm,IMM,adaptive_kalman,evtol,nominal,2,0.030502,0.0311408,0.0290572,0.0371886,-0.0276432,0,0,0.00105798,1965.47,4976,nan,nan,nan,double
spm,MMAE,adaptive_kalman,evtol,nominal,2,0.0462631,0.0474,0.0440263,0.05312,-0.0357158,0,0,0.00101575,1684.66,13200,-0.0394362,nan,nan,double
spm,Schmidt-KF,robust_kalman,evtol,nominal,2,0.00604428,0.00493835,0.00462861,0.0155027,0.00686472,0,0,0.00728109,1230,8856,nan,nan,nan,double
spm,Hinf-EKF,robust_kalman,evtol,nominal,2,0.0444183,0.0500507,0.0390773,0.120098,0.042051,0,0,0.000999646,740.47,4408,nan,nan,nan,double
spm,Huber-EKF,robust_kalman,evtol,nominal,2,0.0319786,0.0329392,0.0306076,0.0373358,-0.0306497,0,0,0.00113253,615.355,4368,nan,nan,nan,double
spm,MC-EKF,robust_kalman,evtol,nominal,2,0.0308908,0.031897,0.0295596,0.0356424,-0.0292612,0,0,0.00103721,933.542,4384,nan,nan,nan,double
spm,StudentT-KF,robust_kalman,evtol,nominal,2,0.0353177,0.035929,0.0340135,0.0424045,-0.033352,0,0,0.00116942,665.978,4568,nan,nan,nan,double
spm,Constrained-EKF,robust_kalman,evtol,nominal,2,0.0339347,0.0349636,0.0324401,0.0395913,-0.0332376,0,0,0.00100135,554.64,4416,nan,nan,nan,double
spm,ReducedOrder-EKF,robust_kalman,evtol,nominal,2,0.0073597,0.00672098,0.00553037,0.0176565,0.0106845,0,0,0.00155924,309.232,4272,nan,nan,nan,double
spm,SVSF,robust_kalman,evtol,nominal,2,0.0368179,0.0372504,0.0352713,0.0452264,-0.0339606,0,0,0.00103376,548.798,4376,nan,nan,nan,double
spm,Luenberger,observers,evtol,nominal,2,0.00664353,0.00566529,0.00477745,0.0246538,0.00833525,0,0,0.00103358,335.358,4632,nan,nan,nan,double
spm,SSKF,observers,evtol,nominal,2,0.00664353,0.00566529,0.00477745,0.0246538,0.00833525,0,0,0.00103358,324.329,4632,nan,nan,nan,double
spm,PI-Observer,observers,evtol,nominal,2,0.0105608,0.00941449,0.00739041,0.0481803,0.0116269,0,0,0.00105293,1153.79,4824,nan,nan,nan,double
spm,SMO,observers,evtol,nominal,2,0.00693809,0.00594456,0.00496215,0.0260614,0.00870432,0,0,0.00102776,340.554,4800,nan,nan,nan,double
spm,SMO-Adaptive,observers,evtol,nominal,2,0.00674908,0.00567473,0.00482337,0.0254511,0.00829885,0,0,0.00103038,334.227,4800,nan,nan,nan,double
