z,ocv,docv_dz,dUdT,x_n,U_n,y_p,U_p
0.3680,3.649693,0.724051,-0.00010991,0.35915,0.140111,0.63187,3.789804
0.3690,3.650416,0.722263,-0.00010972,0.36001,0.139946,0.63130,3.790362
0.3700,3.651137,0.720566,-0.00010954,0.36087,0.139784,0.63073,3.790921
0.3710,3.651857,0.718960,-0.00010935,0.36173,0.139626,0.63016,3.791483
0.3720,3.652575,0.717445,-0.00010916,0.36259,0.139471,0.62958,3.792046
0.3730,3.653292,0.716020,-0.00010897,0.36344,0.139319,0.62901,3.792611
0.3740,3.654007,0.714686,-0.00010878,0.36430,0.139171,0.62844,3.793178
0.3750,3.654721,0.713442,-0.00010859,0.36516,0.139026,0.62787,3.793747
0.3760,3.655434,0.712288,-0.00010841,0.36602,0.138884,0.62729,3.794318
0.3770,3.656146,0.711224,-0.00010822,0.36688,0.138745,0.62672,3.794891
0.3780,3.656857,0.710250,-0.00010803,0.36773,0.138610,0.62615,3.795466
0.3790,3.657567,0.709365,-0.00010785,0.36859,0.138477,0.62558,3.796044
0.3800,3.658276,0.708568,-0.00010766,0.36945,0.138347,0.62500,3.796623
0.3810,3.658984,0.707860,-0.00010747,0.37031,0.138221,0.62443,3.797204
0.3820,3.659691,0.707240,-0.00010729,0.37117,0.138097,0.62386,3.797788
0.3830,3.660398,0.706708,-0.00010710,0.37202,0.137975,0.62329,3.798374
0.3840,3.661105,0.706263,-0.00010692,0.37288,0.137857,0.62271,3.798962
0.3850,3.661811,0.705905,-0.00010673,0.37374,0.137741,0.62214,3.799552
0.3860,3.662517,0.705633,-0.00010655,0.37460,0.137628,0.62157,3.800144
0.3870,3.663222,0.705446,-0.00010637,0.37546,0.137517,0.62099,3.800739
0.3880,3.663927,0.705345,-0.00010618,0.37631,0.137409,0.62042,3.801337
0.3890,3.664633,0.705329,-0.00010600,0.37717,0.137304,0.61985,3.801936
0.3900,3.665338,0.705396,-0.00010582,0.37803,0.137200,0.61928,3.802539
0.3910,3.666044,0.705547,-0.00010563,0.37889,0.137100,0.61870,3.803143
0.3920,3.666749,0.705781,-0.00010545,0.37975,0.137001,0.61813,3.803750
0.3930,3.667455,0.706097,-0.00010527,0.38060,0.136905,0.61756,3.804360
0.3940,3.668161,0.706494,-0.00010509,0.38146,0.136811,0.61699,3.804972
0.3950,3.668868,0.706973,-0.00010490,0.38232,0.136719,0.61641,3.805587
0.3960,3.669575,0.707531,-0.00010472,0.38318,0.136629,0.61584,3.806205
0.3970,3.670283,0.708169,-0.00010454,0.38404,0.136542,0.61527,3.806825
0.3980,3.670992,0.708886,-0.00010436,0.38489,0.136456,0.61470,3.807448
0.3990,3.671701,0.709680,-0.00010418,0.38575,0.136372,0.61412,3.808073
0.4000,3.672411,0.710552,-0.00010400,0.38661,0.136291,0.61355,3.808702
0.4010,3.673122,0.711500,-0.00010382,0.38747,0.136211,0.61298,3.809333
0.4020,3.673834,0.712523,-0.00010364,0.38833,0.136133,0.61241,3.809967
0.4030,3.674547,0.713621,-0.00010346,0.38918,0.136057,0.61183,3.810604
0.4040,3.675262,0.714793,-0.00010328,0.39004,0.135983,0.61126,3.811244
0.4050,3.675977,0.716038,-0.00010310,0.39090,0.135910,0.61069,3.811887
0.4060,3.676694,0.717355,-0.00010293,0.39176,0.135840,0.61012,3.812533
0.4070,3.677412,0.718743,-0.00010275,0.39262,0.135771,0.60954,3.813182
0.4080,3.678131,0.720201,-0.00010257,0.39347,0.135703,0.60897,3.813834
0.4090,3.678852,0.721728,-0.00010239,0.39433,0.135637,0.60840,3.814489
0.4100,3.679575,0.723323,-0.00010221,0.39519,0.135573,0.60783,3.815148
0.4110,3.680299,0.724986,-0.00010204,0.39605,0.135510,0.60725,3.815809
0.4120,3.681025,0.726715,-0.00010186,0.39691,0.135449,0.60668,3.816474
0.4130,3.681752,0.728508,-0.00010169,0.39776,0.135389,0.60611,3.817142
0.4140,3.682482,0.730366,-0.00010151,0.39862,0.135331,0.60554,3.817813
0.4150,3.683213,0.732286,-0.00010133,0.39948,0.135274,0.60496,3.818487
0.4160,3.683946,0.734268,-0.00010116,0.40034,0.135219,0.60439,3.819165
0.4170,3.684682,0.736310,-0.00010098,0.40120,0.135164,0.60382,3.819846
0.4180,3.685419,0.738412,-0.00010081,0.40205,0.135111,0.60324,3.820530
0.4190,3.686158,0.740572,-0.00010063,0.40291,0.135060,0.60267,3.821218
0.4200,3.686900,0.742788,-0.00010046,0.40377,0.135009,0.60210,3.821909
0.4210,3.687644,0.745060,-0.00010029,0.40463,0.134960,0.60153,3.822604
0.4220,3.688390,0.747386,-0.00010011,0.40549,0.134912,0.60095,3.823302
0.4230,3.689139,0.749764,-0.00009994,0.40634,0.134865,0.60038,3.824004
0.4240,3.689890,0.752194,-0.00009977,0.40720,0.134820,0.59981,3.824709
0.4250,3.690643,0.754674,-0.00009959,0.40806,0.134775,0.59924,3.825418
0.4260,3.691399,0.757202,-0.00009942,0.40892,0.134731,0.59866,3.826130
0.4270,3.692158,0.759778,-0.00009925,0.40978,0.134689,0.59809,3.826847
0.4280,3.692919,0.762398,-0.00009908,0.41063,0.134648,0.59752,3.827566
0.4290,3.693682,0.765063,-0.00009891,0.41149,0.134607,0.59695,3.828289
0.4300,3.694449,0.767770,-0.00009873,0.41235,0.134568,0.59637,3.829016
0.4310,3.695218,0.770517,-0.00009856,0.41321,0.134529,0.59580,3.829747
0.4320,3.695990,0.773304,-0.00009839,0.41407,0.134492,0.59523,3.830481
0.4330,3.696765,0.776127,-0.00009822,0.41492,0.134455,0.59466,3.831220
0.4340,3.697542,0.778987,-0.00009805,0.41578,0.134419,0.59408,3.831961
0.4350,3.698323,0.781880,-0.00009788,0.41664,0.134384,0.59351,3.832707
0.4360,3.699106,0.784805,-0.00009771,0.41750,0.134350,0.59294,3.833456
0.4370,3.699892,0.787760,-0.00009755,0.41836,0.134317,0.59237,3.834209
0.4380,3.700681,0.790743,-0.00009738,0.41921,0.134285,0.59179,3.834966
0.4390,3.701474,0.793753,-0.00009721,0.42007,0.134253,0.59122,3.835727
0.4400,3.702269,0.796788,-0.00009704,0.42093,0.134223,0.59065,3.836492
0.4410,3.703067,0.799844,-0.00009687,0.42179,0.134193,0.59008,3.837260
0.4420,3.703869,0.802921,-0.00009670,0.42264,0.134163,0.58950,3.838032
0.4430,3.704673,0.806017,-0.00009654,0.42350,0.134135,0.58893,3.838808
0.4440,3.705481,0.809129,-0.00009637,0.42436,0.134107,0.58836,3.839588
0.4450,3.706291,0.812255,-0.00009620,0.42522,0.134080,0.58779,3.840371
0.4460,3.707105,0.815393,-0.00009604,0.42608,0.134053,0.58721,3.841158
0.4470,3.707922,0.818541,-0.00009587,0.42693,0.134027,0.58664,3.841949
0.4480,3.708742,0.821697,-0.00009571,0.42779,0.134002,0.58607,3.842744
0.4490,3.709566,0.824858,-0.00009554,0.42865,0.133978,0.58549,3.843543
0.4500,3.710392,0.828023,-0.00009537,0.42951,0.133954,0.58492,3.844345
0.4510,3.711222,0.831189,-0.00009521,0.43037,0.133930,0.58435,3.845152
0.4520,3.712054,0.834353,-0.00009505,0.43122,0.133907,0.58378,3.845962
0.4530,3.712890,0.837514,-0.00009488,0.43208,0.133885,0.58320,3.846775
0.4540,3.713729,0.840668,-0.00009472,0.43294,0.133863,0.58263,3.847593
0.4550,3.714572,0.843815,-0.00009455,0.43380,0.133842,0.58206,3.848414
0.4560,3.715417,0.846951,-0.00009439,0.43466,0.133821,0.58149,3.849238
0.4570,3.716266,0.850074,-0.00009423,0.43551,0.133801,0.58091,3.850067
0.4580,3.717117,0.853181,-0.00009406,0.43637,0.133782,0.58034,3.850899
0.4590,3.717972,0.856270,-0.00009390,0.43723,0.133762,0.57977,3.851734
0.4600,3.718830,0.859340,-0.00009374,0.43809,0.133744,0.57920,3.852573
0.4610,3.719691,0.862386,-0.00009358,0.43895,0.133726,0.57862,3.853416
0.4620,3.720554,0.865408,-0.00009342,0.43980,0.133708,0.57805,3.854262
0.4630,3.721421,0.868402,-0.00009326,0.44066,0.133690,0.57748,3.855112
0.4640,3.722291,0.871366,-0.00009309,0.44152,0.133673,0.57691,3.855965
0.4650,3.723164,0.874297,-0.00009293,0.44238,0.133657,0.57633,3.856821
0.4660,3.724040,0.877194,-0.00009277,0.44324,0.133641,0.57576,3.857681
0.4670,3.724918,0.880054,-0.00009261,0.44409,0.133625,0.57519,3.858544
0.4680,3.725800,0.882874,-0.00009245,0.44495,0.133610,0.57462,3.859410
0.4690,3.726684,0.885652,-0.00009229,0.44581,0.133595,0.57404,3.860279
0.4700,3.727571,0.888385,-0.00009214,0.44667,0.133580,0.57347,3.861152
0.4710,3.728461,0.891073,-0.00009198,0.44753,0.133566,0.57290,3.862027
0.4720,3.729353,0.893711,-0.00009182,0.44838,0.133552,0.57233,3.862906
0.4730,3.730248,0.896298,-0.00009166,0.44924,0.133539,0.57175,3.863787
0.4740,3.731146,0.898831,-0.00009150,0.45010,0.133525,0.57118,3.864671
0.4750,3.732046,0.901309,-0.00009134,0.45096,0.133513,0.57061,3.865559
0.4760,3.732948,0.903729,-0.00009119,0.45182,0.133500,0.57003,3.866448
0.4770,3.733853,0.906089,-0.00009103,0.45267,0.133488,0.56946,3.867341
0.4780,3.734761,0.908386,-0.00009087,0.45353,0.133476,0.56889,3.868236
0.4790,3.735670,0.910620,-0.00009072,0.45439,0.133464,0.56832,3.869134
0.4800,3.736582,0.912787,-0.00009056,0.45525,0.133453,0.56774,3.870035
0.4810,3.737496,0.914886,-0.00009040,0.45611,0.133442,0.56717,3.870937
0.4820,3.738412,0.916915,-0.00009025,0.45696,0.133431,0.56660,3.871842
0.4830,3.739330,0.918872,-0.00009009,0.45782,0.133420,0.56603,3.872750
0.4840,3.740249,0.920756,-0.00008994,0.45868,0.133410,0.56545,3.873659
0.4850,3.741171,0.922564,-0.00008978,0.45954,0.133400,0.56488,3.874571
0.4860,3.742094,0.924296,-0.00008963,0.46040,0.133390,0.56431,3.875484
0.4870,3.743020,0.925948,-0.00008948,0.46125,0.133380,0.56374,3.876400
0.4880,3.743946,0.927521,-0.00008932,0.46211,0.133371,0.56316,3.877317
0.4890,3.744875,0.929012,-0.00008917,0.46297,0.133361,0.56259,3.878236
0.4900,3.745804,0.930420,-0.00008902,0.46383,0.133352,0.56202,3.879157
0.4910,3.746735,0.931744,-0.00008886,0.46469,0.133344,0.56145,3.880079
0.4920,3.747668,0.932983,-0.00008871,0.46554,0.133335,0.56087,3.881003
0.4930,3.748601,0.934135,-0.00008856,0.46640,0.133327,0.56030,3.881928
0.4940,3.749536,0.935200,-0.00008841,0.46726,0.133318,0.55973,3.882854
0.4950,3.750472,0.936176,-0.00008825,0.46812,0.133310,0.55916,3.883782
0.4960,3.751408,0.937064,-0.00008810,0.46898,0.133302,0.55858,3.884711
0.4970,3.752346,0.937861,-0.00008795,0.46983,0.133295,0.55801,3.885640
0.4980,3.753284,0.938568,-0.00008780,0.47069,0.133287,0.55744,3.886571
0.4990,3.754223,0.939183,-0.00008765,0.47155,0.133280,0.55687,3.887503
0.5000,3.755162,0.939707,-0.00008750,0.47241,0.133273,0.55629,3.888435
0.5010,3.756102,0.940139,-0.00008735,0.47327,0.133265,0.55572,3.889368
0.5020,3.757043,0.940478,-0.00008720,0.47412,0.133258,0.55515,3.890301
0.5030,3.757983,0.940726,-0.00008705,0.47498,0.133252,0.55458,3.891235
0.5040,3.758924,0.940880,-0.00008690,0.47584,0.133245,0.55400,3.892169
0.5050,3.759865,0.940942,-0.00008675,0.47670,0.133238,0.55343,3.893103
0.5060,3.760806,0.940912,-0.00008661,0.47756,0.133232,0.55286,3.894038
0.5070,3.761747,0.940790,-0.00008646,0.47841,0.133226,0.55228,3.894972
0.5080,3.762687,0.940575,-0.00008631,0.47927,0.133219,0.55171,3.895907
0.5090,3.763628,0.940270,-0.00008616,0.48013,0.133213,0.55114,3.896841
0.5100,3.764568,0.939873,-0.00008601,0.48099,0.133207,0.55057,3.897775
0.5110,3.765508,0.939386,-0.00008587,0.48185,0.133201,0.54999,3.898709
0.5120,3.766447,0.938810,-0.00008572,0.48270,0.133195,0.54942,3.899642
0.5130,3.767385,0.938145,-0.00008558,0.48356,0.133190,0.54885,3.900575
0.5140,3.768323,0.937392,-0.00008543,0.48442,0.133184,0.54828,3.901507
0.5150,3.769260,0.936552,-0.00008528,0.48528,0.133178,0.54770,3.902438
0.5160,3.770196,0.935626,-0.00008514,0.48614,0.133173,0.54713,3.903369
0.5170,3.771131,0.934616,-0.00008499,0.48699,0.133167,0.54656,3.904298
0.5180,3.772065,0.933522,-0.00008485,0.48785,0.133162,0.54599,3.905227
0.5190,3.772998,0.932347,-0.00008470,0.48871,0.133156,0.54541,3.906154
0.5200,3.773930,0.931091,-0.00008456,0.48957,0.133151,0.54484,3.907081
0.5210,3.774860,0.929756,-0.00008442,0.49043,0.133145,0.54427,3.908006
0.5220,3.775789,0.928344,-0.00008427,0.49128,0.133140,0.54370,3.908929
0.5230,3.776717,0.926856,-0.00008413,0.49214,0.133135,0.54312,3.909852
0.5240,3.777643,0.925294,-0.00008399,0.49300,0.133129,0.54255,3.910772
0.5250,3.778568,0.923660,-0.00008384,0.49386,0.133124,0.54198,3.911692
0.5260,3.779490,0.921956,-0.00008370,0.49472,0.133119,0.54141,3.912609
0.5270,3.780411,0.920184,-0.00008356,0.49557,0.133113,0.54083,3.913525
0.5280,3.781331,0.918345,-0.00008342,0.49643,0.133108,0.54026,3.914439
0.5290,3.782248,0.916443,-0.00008328,0.49729,0.133103,0.53969,3.915351
0.5300,3.783164,0.914479,-0.00008314,0.49815,0.133097,0.53912,3.916261
0.5310,3.784077,0.912456,-0.00008299,0.49901,0.133092,0.53854,3.917169
0.5320,3.784988,0.910375,-0.00008285,0.49986,0.133086,0.53797,3.918075
0.5330,3.785898,0.908240,-0.00008271,0.50072,0.133081,0.53740,3.918979
0.5340,3.786805,0.906052,-0.00008257,0.50158,0.133075,0.53682,3.919880
0.5350,3.787710,0.903814,-0.00008243,0.50244,0.133070,0.53625,3.920779
0.5360,3.788613,0.901529,-0.00008229,0.50330,0.133064,0.53568,3.921676
0.5370,3.789513,0.899200,-0.00008216,0.50415,0.133058,0.53511,3.922571
0.5380,3.790411,0.896828,-0.00008202,0.50501,0.133052,0.53453,3.923463
0.5390,3.791307,0.894416,-0.00008188,0.50587,0.133046,0.53396,3.924352
0.5400,3.792200,0.891968,-0.00008174,0.50673,0.133040,0.53339,3.925239
0.5410,3.793090,0.889486,-0.00008160,0.50759,0.133033,0.53282,3.926124
0.5420,3.793979,0.886973,-0.00008146,0.50844,0.133027,0.53224,3.927005
0.5430,3.794864,0.884431,-0.00008133,0.50930,0.133020,0.53167,3.927884
0.5440,3.795748,0.881864,-0.00008119,0.51016,0.133013,0.53110,3.928761
0.5450,3.796628,0.879274,-0.00008105,0.51102,0.133006,0.53053,3.929634
0.5460,3.797506,0.876664,-0.00008092,0.51188,0.132999,0.52995,3.930505
0.5470,3.798381,0.874038,-0.00008078,0.51273,0.132991,0.52938,3.931373
0.5480,3.799254,0.871398,-0.00008065,0.51359,0.132983,0.52881,3.932238
0.5490,3.800124,0.868748,-0.00008051,0.51445,0.132975,0.52824,3.933100
0.5500,3.800992,0.866090,-0.00008038,0.51531,0.132967,0.52766,3.933959
0.5510,3.801856,0.863427,-0.00008024,0.51617,0.132959,0.52709,3.934815
0.5520,3.802719,0.860763,-0.00008011,0.51702,0.132950,0.52652,3.935668
0.5530,3.803578,0.858101,-0.00007997,0.51788,0.132941,0.52595,3.936519
0.5540,3.804435,0.855444,-0.00007984,0.51874,0.132931,0.52537,3.937366
0.5550,3.805289,0.852795,-0.00007970,0.51960,0.132921,0.52480,3.938210
0.5560,3.806140,0.850158,-0.00007957,0.52046,0.132911,0.52423,3.939051
0.5570,3.806989,0.847535,-0.00007944,0.52131,0.132900,0.52366,3.939889
0.5580,3.807835,0.844930,-0.00007930,0.52217,0.132889,0.52308,3.940724
0.5590,3.808679,0.842346,-0.00007917,0.52303,0.132877,0.52251,3.941556
0.5600,3.809520,0.839788,-0.00007904,0.52389,0.132865,0.52194,3.942385
0.5610,3.810359,0.837257,-0.00007891,0.52475,0.132852,0.52137,3.943211
0.5620,3.811195,0.834758,-0.00007878,0.52560,0.132839,0.52079,3.944034
0.5630,3.812028,0.832293,-0.00007865,0.52646,0.132825,0.52022,3.944853
0.5640,3.812859,0.829868,-0.00007851,0.52732,0.132811,0.51965,3.945670
0.5650,3.813688,0.827484,-0.00007838,0.52818,0.132795,0.51907,3.946483
0.5660,3.814514,0.825146,-0.00007825,0.52903,0.132780,0.51850,3.947294
0.5670,3.815338,0.822858,-0.00007812,0.52989,0.132763,0.51793,3.948101
0.5680,3.816160,0.820622,-0.00007799,0.53075,0.132746,0.51736,3.948905
0.5690,3.816979,0.818444,-0.00007786,0.53161,0.132727,0.51678,3.949707
0.5700,3.817797,0.816326,-0.00007774,0.53247,0.132708,0.51621,3.950505
0.5710,3.818612,0.814272,-0.00007761,0.53332,0.132688,0.51564,3.951300
0.5720,3.819425,0.812287,-0.00007748,0.53418,0.132667,0.51507,3.952093
0.5730,3.820237,0.810374,-0.00007735,0.53504,0.132645,0.51449,3.952882
0.5740,3.821046,0.808537,-0.00007722,0.53590,0.132622,0.51392,3.953668
0.5750,3.821854,0.806782,-0.00007709,0.53676,0.132598,0.51335,3.954452
0.5760,3.822660,0.805111,-0.00007697,0.53761,0.132573,0.51278,3.955232
0.5770,3.823464,0.803529,-0.00007684,0.53847,0.132546,0.51220,3.956010
0.5780,3.824267,0.802040,-0.00007671,0.53933,0.132518,0.51163,3.956785
0.5790,3.825068,0.800649,-0.00007659,0.54019,0.132489,0.51106,3.957557
0.5800,3.825868,0.799361,-0.00007646,0.54105,0.132458,0.51049,3.958326
0.5810,3.826667,0.798180,-0.00007633,0.54190,0.132426,0.50991,3.959093
0.5820,3.827465,0.797110,-0.00007621,0.54276,0.132392,0.50934,3.959856
0.5830,3.828261,0.796157,-0.00007608,0.54362,0.132356,0.50877,3.960617
0.5840,3.829057,0.795326,-0.00007596,0.54448,0.132319,0.50820,3.961376
0.5850,3.829852,0.794621,-0.00007583,0.54534,0.132279,0.50762,3.962131
0.5860,3.830646,0.794048,-0.00007571,0.54619,0.132238,0.50705,3.962884
0.5870,3.831440,0.793612,-0.00007559,0.54705,0.132195,0.50648,3.963635
0.5880,3.832233,0.793317,-0.00007546,0.54791,0.132149,0.50591,3.964383
0.5890,3.833027,0.793171,-0.00007534,0.54877,0.132102,0.50533,3.965128
0.5900,3.833820,0.793177,-0.00007522,0.54963,0.132052,0.50476,3.965871
0.5910,3.834613,0.793343,-0.00007509,0.55048,0.131999,0.50419,3.966612
0.5920,3.835407,0.793673,-0.00007497,0.55134,0.131944,0.50361,3.967350
0.5930,3.836201,0.794173,-0.00007485,0.55220,0.131886,0.50304,3.968086
0.5940,3.836995,0.794850,-0.00007473,0.55306,0.131825,0.50247,3.968820
0.5950,3.837790,0.795708,-0.00007460,0.55392,0.131761,0.50190,3.969551
0.5960,3.838587,0.796756,-0.00007448,0.55477,0.131694,0.50132,3.970280
0.5970,3.839384,0.797997,-0.00007436,0.55563,0.131623,0.50075,3.971007
0.5980,3.840183,0.799440,-0.00007424,0.55649,0.131549,0.50018,3.971732
0.5990,3.840983,0.801089,-0.00007412,0.55735,0.131472,0.49961,3.972455
0.6000,3.841785,0.802951,-0.00007400,0.55821,0.131391,0.49903,3.973175
0.6010,3.842589,0.805033,-0.00007388,0.55906,0.131305,0.49846,3.973894
0.6020,3.843395,0.807340,-0.00007376,0.55992,0.131216,0.49789,3.974611
0.6030,3.844204,0.809879,-0.00007364,0.56078,0.131122,0.49732,3.975326
0.6040,3.845015,0.812656,-0.00007352,0.56164,0.131024,0.49674,3.976039
0.6050,3.845829,0.815677,-0.00007340,0.56250,0.130921,0.49617,3.976750
0.6060,3.846646,0.818948,-0.00007329,0.56335,0.130813,0.49560,3.977460
0.6070,3.847467,0.822474,-0.00007317,0.56421,0.130700,0.49503,3.978167
0.6080,3.848291,0.826262,-0.00007305,0.56507,0.130582,0.49445,3.978873
0.6090,3.849120,0.830315,-0.00007293,0.56593,0.130458,0.49388,3.979578
0.6100,3.849952,0.834640,-0.00007281,0.56679,0.130329,0.49331,3.980281
0.6110,3.850789,0.839242,-0.00007270,0.56764,0.130193,0.49274,3.980982
0.6120,3.851631,0.844123,-0.00007258,0.56850,0.130052,0.49216,3.981682
0.6130,3.852477,0.849288,-0.00007247,0.56936,0.129904,0.49159,3.982381
0.6140,3.853329,0.854740,-0.00007235,0.57022,0.129749,0.49102,3.983078
0.6150,3.854187,0.860482,-0.00007223,0.57108,0.129587,0.49045,3.983774
0.6160,3.855050,0.866516,-0.00007212,0.57193,0.129418,0.48987,3.984468
0.6170,3.855920,0.872842,-0.00007200,0.57279,0.129242,0.48930,3.985162
0.6180,3.856796,0.879461,-0.00007189,0.57365,0.129058,0.48873,3.985854
0.6190,3.857679,0.886373,-0.00007177,0.57451,0.128866,0.48816,3.986545
0.6200,3.858569,0.893576,-0.00007166,0.57537,0.128666,0.48758,3.987235
0.6210,3.859466,0.901067,-0.00007155,0.57622,0.128458,0.48701,3.987924
0.6220,3.860371,0.908842,-0.00007143,0.57708,0.128241,0.48644,3.988612
0.6230,3.861284,0.916897,-0.00007132,0.57794,0.128015,0.48586,3.989299
0.6240,3.862205,0.925225,-0.00007121,0.57880,0.127780,0.48529,3.989985
0.6250,3.863135,0.933817,-0.00007109,0.57966,0.127536,0.48472,3.990670
0.6260,3.864073,0.942665,-0.00007098,0.58051,0.127282,0.48415,3.991355
0.6270,3.865020,0.951757,-0.00007087,0.58137,0.127019,0.48357,3.992039
0.6280,3.865976,0.961080,-0.00007076,0.58223,0.126746,0.48300,3.992722
0.6290,3.866942,0.970620,-0.00007065,0.58309,0.126462,0.48243,3.993405
0.6300,3.867918,0.980362,-0.00007054,0.58395,0.126169,0.48186,3.994087
0.6310,3.868903,0.990285,-0.00007042,0.58480,0.125865,0.48128,3.994768
0.6320,3.869898,1.000371,-0.00007031,0.58566,0.125551,0.48071,3.995449
0.6330,3.870904,1.010597,-0.00007020,0.58652,0.125226,0.48014,3.996129
0.6340,3.871920,1.020940,-0.00007009,0.58738,0.124890,0.47957,3.996810
0.6350,3.872946,1.031373,-0.00006998,0.58824,0.124544,0.47899,3.997489
0.6360,3.873982,1.041869,-0.00006987,0.58909,0.124187,0.47842,3.998169
0.6370,3.875029,1.052399,-0.00006977,0.58995,0.123819,0.47785,3.998848
0.6380,3.876087,1.062930,-0.00006966,0.59081,0.123440,0.47728,3.999527
0.6390,3.877155,1.073431,-0.00006955,0.59167,0.123051,0.47670,4.000206
0.6400,3.878234,1.083866,-0.00006944,0.59253,0.122651,0.47613,4.000885
0.6410,3.879323,1.094200,-0.00006933,0.59338,0.122241,0.47556,4.001564
0.6420,3.880422,1.104397,-0.00006922,0.59424,0.121820,0.47499,4.002242
0.6430,3.881532,1.114418,-0.00006912,0.59510,0.121390,0.47441,4.002921
0.6440,3.882651,1.124225,-0.00006901,0.59596,0.120949,0.47384,4.003600
0.6450,3.883780,1.133779,-0.00006890,0.59682,0.120499,0.47327,4.004279
0.6460,3.884919,1.143040,-0.00006880,0.59767,0.120040,0.47270,4.004958
0.6470,3.886066,1.151970,-0.00006869,0.59853,0.119572,0.47212,4.005638
0.6480,3.887222,1.160530,-0.00006859,0.59939,0.119095,0.47155,4.006318
0.6490,3.888387,1.168682,-0.00006848,0.60025,0.118611,0.47098,4.006998
0.6500,3.889560,1.176389,-0.00006837,0.60111,0.118119,0.47040,4.007678
0.6510,3.890740,1.183617,-0.00006827,0.60196,0.117619,0.46983,4.008359
0.6520,3.891927,1.190332,-0.00006817,0.60282,0.117114,0.46926,4.009040
0.6530,3.893120,1.196501,-0.00006806,0.60368,0.116602,0.46869,4.009722
0.6540,3.894319,1.202097,-0.00006796,0.60454,0.116085,0.46811,4.010404
0.6550,3.895524,1.207093,-0.00006785,0.60540,0.115563,0.46754,4.011087
0.6560,3.896733,1.211465,-0.00006775,0.60625,0.115038,0.46697,4.011771
0.6570,3.897947,1.215195,-0.00006765,0.60711,0.114508,0.46640,4.012455
0.6580,3.899164,1.218264,-0.00006754,0.60797,0.113977,0.46582,4.013140
0.6590,3.900383,1.220662,-0.00006744,0.60883,0.113443,0.46525,4.013826
0.6600,3.901605,1.222377,-0.00006734,0.60969,0.112908,0.46468,4.014513
0.6610,3.902828,1.223406,-0.00006724,0.61054,0.112372,0.46411,4.015200
0.6620,3.904051,1.223748,-0.00006714,0.61140,0.111837,0.46353,4.015888
0.6630,3.905275,1.223404,-0.00006704,0.61226,0.111303,0.46296,4.016577
0.6640,3.906498,1.222383,-0.00006693,0.61312,0.110770,0.46239,4.017268
0.6650,3.907719,1.220693,-0.00006683,0.61398,0.110240,0.46182,4.017959
0.6660,3.908939,1.218351,-0.00006673,0.61483,0.109712,0.46124,4.018651
0.6670,3.910156,1.215374,-0.00006663,0.61569,0.109189,0.46067,4.019345
0.6680,3.911370,1.211782,-0.00006653,0.61655,0.108670,0.46010,4.020039
0.6690,3.912579,1.207602,-0.00006643,0.61741,0.108156,0.45953,4.020735
0.6700,3.913785,1.202859,-0.00006633,0.61827,0.107647,0.45895,4.021432
0.6710,3.914985,1.197583,-0.00006624,0.61912,0.107145,0.45838,4.022130
0.6720,3.916180,1.191808,-0.00006614,0.61998,0.106650,0.45781,4.022830
0.6730,3.917368,1.185566,-0.00006604,0.62084,0.106162,0.45724,4.023531
0.6740,3.918551,1.178893,-0.00006594,0.62170,0.105682,0.45666,4.024233
0.6750,3.919726,1.171827,-0.00006584,0.62256,0.105211,0.45609,4.024936
0.6760,3.920894,1.164405,-0.00006575,0.62341,0.104748,0.45552,4.025642
0.6770,3.922055,1.156665,-0.00006565,0.62427,0.104294,0.45495,4.026348
0.6780,3.923207,1.148646,-0.00006555,0.62513,0.103849,0.45437,4.027056
0.6790,3.924352,1.140386,-0.00006546,0.62599,0.103414,0.45380,4.027766
0.6800,3.925488,1.131924,-0.00006536,0.62685,0.102990,0.45323,4.028478
0.6810,3.926616,1.123297,-0.00006526,0.62770,0.102575,0.45265,4.029191
0.6820,3.927735,1.114542,-0.00006517,0.62856,0.102171,0.45208,4.029905
0.6830,3.928845,1.105694,-0.00006507,0.62942,0.101777,0.45151,4.030622
0.6840,3.929946,1.096789,-0.00006498,0.63028,0.101394,0.45094,4.031340
0.6850,3.931038,1.087859,-0.00006488,0.63114,0.101022,0.45036,4.032060
0.6860,3.932122,1.078935,-0.00006479,0.63199,0.100660,0.44979,4.032782
0.6870,3.933196,1.070047,-0.00006470,0.63285,0.100309,0.44922,4.033505
0.6880,3.934262,1.061223,-0.00006460,0.63371,0.099969,0.44865,4.034231
0.6890,3.935319,1.052490,-0.00006451,0.63457,0.099640,0.44807,4.034958
0.6900,3.936367,1.043870,-0.00006441,0.63542,0.099321,0.44750,4.035688
0.6910,3.937406,1.035387,-0.00006432,0.63628,0.099013,0.44693,4.036419
0.6920,3.938438,1.027061,-0.00006423,0.63714,0.098715,0.44636,4.037152
0.6930,3.939461,1.018911,-0.00006414,0.63800,0.098427,0.44578,4.037888
0.6940,3.940475,1.010952,-0.00006405,0.63886,0.098150,0.44521,4.038625
0.6950,3.941483,1.003199,-0.00006395,0.63971,0.097883,0.44464,4.039365
0.6960,3.942482,0.995667,-0.00006386,0.64057,0.097625,0.44407,4.040107
0.6970,3.943474,0.988365,-0.00006377,0.64143,0.097377,0.44349,4.040851
0.6980,3.944459,0.981303,-0.00006368,0.64229,0.097138,0.44292,4.041597
0.6990,3.945437,0.974489,-0.00006359,0.64315,0.096909,0.44235,4.042346
