z,v_hyst,branch
0.4833,-0.005000,discharge
0.4805,-0.005000,discharge
0.4778,-0.005000,discharge
0.4750,-0.005000,discharge
0.4722,-0.005000,discharge
0.4694,-0.005000,discharge
0.4666,-0.005000,discharge
0.4639,-0.005000,discharge
0.4611,-0.005000,discharge
0.4583,-0.005000,discharge
0.4555,-0.005000,discharge
0.4528,-0.005000,discharge
0.4500,-0.005000,discharge
0.4472,-0.005000,discharge
0.4444,-0.005000,discharge
0.4416,-0.005000,discharge
0.4389,-0.005000,discharge
0.4361,-0.005000,discharge
0.4333,-0.005000,discharge
0.4305,-0.005000,discharge
0.4278,-0.005000,discharge
0.4250,-0.005000,discharge
0.4222,-0.005000,discharge
0.4194,-0.005000,discharge
0.4166,-0.005000,discharge
0.4139,-0.005000,discharge
0.4111,-0.005000,discharge
0.4083,-0.005000,discharge
0.4055,-0.005000,discharge
0.4028,-0.005000,discharge
0.4000,-0.005000,discharge
0.3972,-0.005000,discharge
0.3944,-0.005000,discharge
0.3916,-0.005000,discharge
0.3889,-0.005000,discharge
0.3861,-0.005000,discharge
0.3833,-0.005000,discharge
0.3805,-0.005000,discharge
0.3778,-0.005000,discharge
0.3750,-0.005000,discharge
0.3722,-0.005000,discharge
0.3694,-0.005000,discharge
0.3666,-0.005000,discharge
0.3639,-0.005000,discharge
0.3611,-0.005000,discharge
0.3583,-0.005000,discharge
0.3555,-0.005000,discharge
0.3528,-0.005000,discharge
0.3500,-0.005000,discharge
0.3472,-0.005000,discharge
0.3444,-0.005000,discharge
0.3416,-0.005000,discharge
0.3389,-0.005000,discharge
0.3361,-0.005000,discharge
0.3333,-0.005000,discharge
0.3305,-0.005000,discharge
0.3278,-0.005000,discharge
0.3250,-0.005000,discharge
0.3222,-0.005000,discharge
0.3194,-0.005000,discharge
0.3166,-0.005000,discharge
0.3139,-0.005000,discharge
0.3111,-0.005000,discharge
0.3083,-0.005000,discharge
0.3055,-0.005000,discharge
0.3028,-0.005000,discharge
0.3000,-0.005000,discharge
0.2972,-0.005000,discharge
0.2944,-0.005000,discharge
0.2916,-0.005000,discharge
0.2889,-0.005000,discharge
0.2861,-0.005000,discharge
0.2833,-0.005000,discharge
