plant,estimator,group,profile,scenario,seed,rmse,rmse_ss,mae,max_err,final_err,conv_time,diverged,rmse_v,ns_per_step,bytes,capacity_err_end,bound_violation,bound_width,real_type
ecm,Constrained-EKF,robust_kalman,evtol,nominal,1,0.00121719,0.000559969,0.000763232,0.0132051,-0.000742152,0,0,0.000791669,421.574,2212,nan,nan,nan,float
ecm,ReducedOrder-EKF,robust_kalman,evtol,nominal,1,0.00217313,0.000760608,0.0014469,0.0132545,0.000587434,0,0,0.000745577,308.892,2136,nan,nan,nan,float
ecm,SVSF,robust_kalman,evtol,nominal,1,0.0018061,0.000480489,0.000978285,0.00672644,-0.000707418,0,0,0.000771053,478.389,2188,nan,nan,nan,float
ecm,Luenberger,observers,evtol,nominal,1,0.00198674,0.000797762,0.0014024,0.00583416,0.00060147,0,0,0.000815038,372.759,2328,nan,nan,nan,float
ecm,SSKF,observers,evtol,nominal,1,0.00198674,0.000797762,0.0014024,0.00583416,0.00060147,0,0,0.000815038,327.217,2328,nan,nan,nan,float
ecm,PI-Observer,observers,evtol,nominal,1,0.00258299,0.000952691,0.00162941,0.0124204,0.000645265,0,0,0.000886632,1256.28,2416,nan,nan,nan,float
ecm,SMO,observers,evtol,nominal,1,0.00199245,0.000816352,0.0014047,0.00591081,0.000607744,0,0,0.000822131,402.217,2404,nan,nan,nan,float
ecm,SMO-Adaptive,observers,evtol,nominal,1,0.00199083,0.000808994,0.00140484,0.00589812,0.000602111,0,0,0.000818587,407.428,2404,nan,nan,nan,float
ecm,SuperTwisting-SMO,observers,evtol,nominal,1,0.00267452,0.000923155,0.00166243,0.0141543,0.000588298,0,0,0.000792052,119.966,2144,nan,nan,nan,float
ecm,HGO,observers,evtol,nominal,1,0.00198674,0.000797762,0.0014024,0.00583416,0.00060147,0,0,0.000815038,379.471,2348,nan,nan,nan,float
ecm,ESO,observers,evtol,nominal,1,0.00258954,0.00098773,0.00164666,0.0124204,0.00062494,0,0,0.000816585,1302.36,2396,nan,nan,nan,float
ecm,UIO,observers,evtol,nominal,1,0.00179769,0.000691183,0.00116256,0.00804937,-0.000604019,0,0,0.00381637,460.08,2548,nan,nan,nan,float
ecm,DOB,observers,evtol,nominal,1,0.000753249,0.000224413,0.000482245,0.00268471,-0.000100002,0,0,0.000899839,540.711,2400,nan,nan,nan,float
ecm,AdaptiveObserver,observers,evtol,nominal,1,0.00187035,0.000520349,0.00115664,0.00578946,0.000453144,0,0,0.000813612,676.828,2436,0.0160612,nan,nan,float
ecm,IntervalObserver,observers,evtol,nominal,1,0.00198674,0.000797762,0.0014024,0.00583416,0.00060147,0,0,0.000815038,613.642,4532,nan,0,0.273839,float
ecm,JointEKF,soh,evtol,nominal,1,0.00140512,0.000803948,0.000820843,0.013174,0.00146268,0,0,0.000808527,994.775,4376,0.0643867,nan,nan,float
ecm,JointUKF,soh,evtol,nominal,1,0.00106141,0.000643406,0.000627217,0.0400025,0.000127628,0.4,0,0.0010849,2698.57,4800,0.0326226,nan,nan,float
ecm,DualEKF,soh,evtol,nominal,1,0.00171141,0.00121253,0.00139521,0.0132051,-0.000491962,0,0,0.000791963,904.735,2376,0.0557555,nan,nan,float
ecm,DualUKF,soh,evtol,nominal,1,0.00200497,0.000505208,0.00128831,0.0400295,-0.00073421,0.4,0,0.00110313,1698.42,2756,0.0186403,nan,nan,float
ecm,RLS-EKF,soh,evtol,nominal,1,0.00683965,0.00505519,0.00629994,0.0132051,0.00475612,0,0,0.00137872,372.121,4464,nan,nan,nan,float
ecm,AWTLS,soh,evtol,nominal,1,0.00116222,0.000214465,0.000603356,0.0132051,0.000305623,0,0,0.000791584,361.044,4400,0.0416645,nan,nan,float
ecm,PF-Bootstrap,particle,evtol,nominal,1,0.00133541,0.00166664,0.00106827,0.00677961,0.00196531,0,0,0.000842062,67828.6,24256,nan,nan,nan,float
ecm,PF-Fast,particle,evtol,nominal,1,0.00237061,0.00216004,0.00188973,0.0124696,-0.00153756,0,0,0.000915389,13648.1,5048,nan,nan,nan,float
ecm,PF-Regularized,particle,evtol,nominal,1,0.0012229,0.000787604,0.000883568,0.00675917,-0.000151709,0,0,0.000834254,74763,24248,nan,nan,nan,float
ecm,PF-Auxiliary,particle,evtol,nominal,1,0.00157479,0.00133656,0.00117633,0.007002,-0.000442401,0,0,0.000865414,90241.6,28312,nan,nan,nan,float
ecm,RBPF,particle,evtol,nominal,1,0.0010499,0.000482647,0.000692337,0.00878358,-0.000385597,0,0,0.000799366,32088.7,17424,nan,nan,nan,float
ecm,UPF,particle,evtol,nominal,1,0.0068623,0.00481237,0.00478774,0.0410602,0.00457248,0,0,0.00126878,16652.2,12760,nan,nan,nan,float
ecm,EnKF,particle,evtol,nominal,1,0.00273595,0.0024771,0.002093,0.0259212,0.00117001,0.1,0,0.000814956,7543.14,3408,nan,nan,nan,float
ecm,ETKF,particle,evtol,nominal,1,0.0021045,0.00252379,0.00179851,0.02853,-0.00279646,0.1,0,0.000821597,8107.17,2672,nan,nan,nan,float
ecm,GSF,particle,evtol,nominal,1,0.00150913,0.000270039,0.000978692,0.00567108,-0.000471666,0,0,0.000825837,1228.39,4596,nan,nan,nan,float
ecm,NN-Direct,learning,evtol,nominal,1,0.00867346,0.0117023,0.00542563,0.0416333,-0.0187119,0,0,nan,486.803,7604,nan,nan,nan,float
ecm,NN-EKF,learning,evtol,nominal,1,0.00839084,0.00280223,0.00596796,0.0361302,-0.00630295,196.5,0,0.000855794,1295.9,2200,nan,nan,nan,float
ecm,ELM-RLS-EKF,learning,evtol,nominal,1,0.00123305,0.000456972,0.000816842,0.0132051,-0.00058949,0,0,0.000780915,2920.56,5864,nan,nan,nan,float
ecm,MHE-RTI,optimization,evtol,nominal,1,0.00231971,0.000753194,0.00113012,0.0132051,-0.00157885,0,0,0.000849914,11630.3,13472,nan,nan,nan,float
ecm,MHE,optimization,evtol,nominal,1,0.00198458,0.00102853,0.00156761,0.0107441,-0.0015853,0,0,0.000848412,21759.6,13472,nan,nan,nan,float
ecm,ERTS,smoothers,evtol,nominal,1,0.00119207,0.00038543,0.00090519,0.00275964,-0.000741899,0,0,0.000727645,605.349,6273664,nan,nan,nan,float
ecm,URTS,smoothers,evtol,nominal,1,0.00153104,0.000694502,0.00124367,0.00354457,-0.000689477,0,0,0.000730501,1691.17,6273672,nan,nan,nan,float
ecm,Batch-NLS,smoothers,evtol,nominal,1,0.0013232,0.000424396,0.00100226,0.00305516,-0.000829443,0,0,0.00072775,3058.97,8685896,nan,nan,nan,float
ecm,FixedLag-EKF,smoothers,evtol,nominal,1,0.00137838,0.00041392,0.000860269,0.0132051,-0.000684232,0,0,0.000791667,3569.72,9996,nan,nan,nan,float
ecm,CoulombCounting,baselines,evtol,init_error,1,0.352471,0.353516,0.352469,0.354426,-0.354426,-1,1,8.19821,60.0552,2096,nan,nan,nan,float
ecm,OCVLookup,baselines,evtol,init_error,1,0.0332672,0.0131223,0.0171734,0.348799,0.00259343,76.8,0,0.0234798,1249.32,2104,nan,nan,nan,float
ecm,CoulombOCVHybrid,baselines,evtol,init_error,1,0.0598023,0.0443046,0.0500246,0.349399,-0.00999524,-1,0,0.0469428,188.229,2104,nan,nan,nan,float
ecm,EKF,kalman,evtol,init_error,1,0.000936648,0.000425701,0.000651607,0.0048086,-0.000584602,0,0,0.00211756,359.172,2168,nan,nan,nan,float
ecm,UKF,kalman,evtol,init_error,1,0.00116853,0.000431978,0.000617228,0.0297473,-0.000326738,0.1,0,0.00205046,1061.87,2388,nan,nan,nan,float
ecm,LKF,kalman,evtol,init_error,1,0.0329017,0.0217317,0.0291409,0.0571299,0.0133144,0,0,0.00223391,292.283,2340,nan,nan,nan,float
ecm,IEKF,kalman,evtol,init_error,1,0.00235461,0.000296885,0.00137689,0.00970834,-0.000530958,0,0,0.00211764,440.008,2168,nan,nan,nan,float
ecm,CKF,kalman,evtol,init_error,1,0.0157614,0.000867568,0.00610627,0.0632957,-0.000953481,219.9,0,0.00210487,967.706,2280,nan,nan,nan,float
ecm,SCKF,kalman,evtol,init_error,1,0.0157678,0.000906462,0.00613218,0.0632956,-0.00098151,219.9,0,0.00210487,1348.01,2348,nan,nan,nan,float
ecm,CKF5,kalman,evtol,init_error,1,0.0179744,0.00108241,0.00725625,0.0700527,-0.00110209,227.4,0,0.0021058,2813.85,2812,nan,nan,nan,float
