t,i_meas,v_meas,T_true,soc_true,soc_est,soc_std,v_pred,soc_lower,soc_upper,capacity_est,capacity_true,v_true
60,-4.98,3.616,298.343,0.216587,0.216597,-1,3.61772,nan,nan,nan,4.99841,3.61532
61,-5.02,3.614,298.347,0.216863,0.216874,-1,3.61931,nan,nan,nan,4.9984,3.61581
62,-4.96,3.617,298.351,0.21714,0.21715,-1,3.61771,nan,nan,nan,4.99838,3.6163
63,-4.98,3.622,298.354,0.217416,0.217426,-1,3.61833,nan,nan,nan,4.99837,3.61678
64,-5.05,3.619,298.358,0.217693,0.217701,-1,3.6201,nan,nan,nan,4.99835,3.61726
65,-4.99,3.615,298.361,0.217969,0.217978,-1,3.6199,nan,nan,nan,4.99834,3.61773
66,-4.92,3.618,298.365,0.218246,0.218254,-1,3.61946,nan,nan,nan,4.99832,3.61821
67,-5.06,3.622,298.369,0.218522,0.21853,-1,3.62157,nan,nan,nan,4.99831,3.61868
68,-5.01,3.619,298.372,0.218799,0.218807,-1,3.62124,nan,nan,nan,4.99829,3.61915
69,-4.96,3.619,298.376,0.219075,0.219084,-1,3.62057,nan,nan,nan,4.99828,3.61962
70,-4.95,3.616,298.38,0.219351,0.219362,-1,3.6217,nan,nan,nan,4.99827,3.62009
71,-5.02,3.62,298.383,0.219628,0.219637,-1,3.62278,nan,nan,nan,4.99825,3.62056
72,-5.1,3.619,298.387,0.219904,0.219914,-1,3.62475,nan,nan,nan,4.99824,3.62102
73,-4.99,3.617,298.39,0.220181,0.220191,-1,3.6229,nan,nan,nan,4.99823,3.62148
74,-5.03,3.624,298.394,0.220457,0.220469,-1,3.62433,nan,nan,nan,4.99821,3.62194
75,-5.05,3.625,298.398,0.220734,0.220746,-1,3.62445,nan,nan,nan,4.9982,3.6224
76,-4.96,3.625,298.401,0.22101,0.221023,-1,3.62416,nan,nan,nan,4.99818,3.62286
77,-4.97,3.619,298.405,0.221287,0.221299,-1,3.62422,nan,nan,nan,4.99817,3.62331
78,-4.96,3.622,298.409,0.221563,0.221575,-1,3.62541,nan,nan,nan,4.99816,3.62376
79,-5.01,3.624,298.412,0.22184,0.221851,-1,3.62573,nan,nan,nan,4.99814,3.62422
80,-4.95,3.625,298.416,0.222116,0.222127,-1,3.62517,nan,nan,nan,4.99813,3.62466
81,-4.92,3.621,298.419,0.222393,0.222403,-1,3.62596,nan,nan,nan,4.99812,3.62511
82,-5.08,3.624,298.423,0.222669,0.22268,-1,3.62787,nan,nan,nan,4.99811,3.62556
83,-4.99,3.629,298.427,0.222946,0.222956,-1,3.62766,nan,nan,nan,4.99809,3.626
84,-5.03,3.628,298.43,0.223222,0.223233,-1,3.62851,nan,nan,nan,4.99808,3.62644
85,-4.98,3.626,298.434,0.223499,0.22351,-1,3.62866,nan,nan,nan,4.99807,3.62688
86,-5.03,3.63,298.438,0.223775,0.223787,-1,3.62926,nan,nan,nan,4.99805,3.62732
87,-5.14,3.627,298.441,0.224052,0.224064,-1,3.63123,nan,nan,nan,4.99804,3.62776
88,-5.02,3.633,298.445,0.224328,0.224342,-1,3.63019,nan,nan,nan,4.99803,3.6282
89,-4.99,3.629,298.448,0.224605,0.22462,-1,3.63035,nan,nan,nan,4.99802,3.62863
90,-5,3.627,298.452,0.224881,0.224895,-1,3.63083,nan,nan,nan,4.998,3.62907
91,-4.99,3.632,298.456,0.225158,0.225171,-1,3.63045,nan,nan,nan,4.99799,3.6295
92,-5.02,3.632,298.459,0.225434,0.225449,-1,3.6317,nan,nan,nan,4.99798,3.62993
93,-5.01,3.627,298.463,0.225711,0.225726,-1,3.63205,nan,nan,nan,4.99797,3.63036
94,-5.13,3.63,298.466,0.225987,0.226001,-1,3.63352,nan,nan,nan,4.99795,3.63078
95,-5.07,3.63,298.47,0.226264,0.226278,-1,3.6333,nan,nan,nan,4.99794,3.63121
96,-5.02,3.629,298.474,0.22654,0.226555,-1,3.63345,nan,nan,nan,4.99793,3.63163
97,-5.03,3.629,298.477,0.226817,0.226831,-1,3.6342,nan,nan,nan,4.99792,3.63206
98,-5.01,3.631,298.481,0.227093,0.227108,-1,3.63386,nan,nan,nan,4.9979,3.63248
99,-4.96,3.632,298.484,0.22737,0.227384,-1,3.63425,nan,nan,nan,4.99789,3.6329
100,-4.98,3.635,298.488,0.227646,0.22766,-1,3.63462,nan,nan,nan,4.99788,3.63332
101,-5.04,3.632,298.491,0.227923,0.227935,-1,3.63521,nan,nan,nan,4.99787,3.63373
102,-5.09,3.631,298.495,0.228199,0.228211,-1,3.63651,nan,nan,nan,4.99786,3.63415
103,-4.97,3.635,298.499,0.228476,0.228489,-1,3.63493,nan,nan,nan,4.99785,3.63456
104,-5.03,3.63,298.502,0.228752,0.228766,-1,3.6363,nan,nan,nan,4.99783,3.63498
105,-4.98,3.634,298.506,0.229029,0.229042,-1,3.63611,nan,nan,nan,4.99782,3.63539
106,-4.98,3.636,298.509,0.229305,0.229319,-1,3.63659,nan,nan,nan,4.99781,3.6358
107,-4.97,3.636,298.513,0.229582,0.229595,-1,3.63693,nan,nan,nan,4.9978,3.63621
108,-5.01,3.635,298.516,0.229858,0.229871,-1,3.63746,nan,nan,nan,4.99779,3.63662
109,-5.03,3.637,298.52,0.230135,0.230147,-1,3.63854,nan,nan,nan,4.99778,3.63703
110,-5.04,3.636,298.523,0.230411,0.230425,-1,3.63907,nan,nan,nan,4.99776,3.63743
111,-5,3.637,298.527,0.230688,0.230701,-1,3.63923,nan,nan,nan,4.99775,3.63784
112,-5.02,3.637,298.531,0.230964,0.23098,-1,3.64003,nan,nan,nan,4.99774,3.63824
113,-5.08,3.639,298.534,0.231241,0.231256,-1,3.64122,nan,nan,nan,4.99773,3.63865
114,-4.99,3.639,298.538,0.231518,0.231532,-1,3.63968,nan,nan,nan,4.99772,3.63905
115,-5.01,3.636,298.541,0.231794,0.231808,-1,3.64039,nan,nan,nan,4.99771,3.63945
116,-4.94,3.641,298.545,0.232071,0.232085,-1,3.64025,nan,nan,nan,4.9977,3.63985
117,-4.94,3.638,298.548,0.232347,0.232361,-1,3.64025,nan,nan,nan,4.99768,3.64025
118,-5.06,3.645,298.552,0.232624,0.232637,-1,3.64245,nan,nan,nan,4.99767,3.64064
119,-5.05,3.639,298.555,0.2329,0.232915,-1,3.64225,nan,nan,nan,4.99766,3.64104
120,-4.95,3.642,298.559,0.233177,0.233192,-1,3.64186,nan,nan,nan,4.99765,3.64144
121,-5.04,3.641,298.562,0.233453,0.233468,-1,3.64362,nan,nan,nan,4.99764,3.64183
122,-5.01,3.642,298.566,0.23373,0.233744,-1,3.64349,nan,nan,nan,4.99763,3.64222
123,-4.94,3.645,298.569,0.234006,0.23402,-1,3.64288,nan,nan,nan,4.99762,3.64262
124,-5.01,3.639,298.572,0.234283,0.234295,-1,3.64354,nan,nan,nan,4.99761,3.64301
125,-5.05,3.643,298.576,0.234559,0.234572,-1,3.64419,nan,nan,nan,4.9976,3.6434
126,-5.01,3.64,298.579,0.234836,0.234848,-1,3.64478,nan,nan,nan,4.99759,3.64379
127,-5.02,3.645,298.583,0.235112,0.235124,-1,3.64472,nan,nan,nan,4.99757,3.64418
128,-4.98,3.643,298.586,0.235389,0.2354,-1,3.64498,nan,nan,nan,4.99756,3.64456
129,-5.07,3.646,298.59,0.235665,0.235675,-1,3.64662,nan,nan,nan,4.99755,3.64495
130,-5.04,3.643,298.593,0.235942,0.23595,-1,3.64634,nan,nan,nan,4.99754,3.64534
131,-4.95,3.646,298.597,0.236218,0.236227,-1,3.64576,nan,nan,nan,4.99753,3.64572
132,-4.96,3.646,298.6,0.236495,0.236503,-1,3.64665,nan,nan,nan,4.99752,3.6461
133,-5,3.647,298.603,0.236771,0.236778,-1,3.64727,nan,nan,nan,4.99751,3.64649
